9.4101 S, 139.6397 E
24.6969 N, 55.8023 E
89.3437 N, 49.0113 E
68.1450 N, 69.3146 E
35.1074 N, 119.1861 E
0.2381 N, 103.5527 E
8.2711 S, 20.1051 E
41.3382 S, 54.5564 W
7.6625 N, 65.9334 W
44.1369 S, 76.1282 W
28.0379 S, 28.3579 W
56.0613 S, 103.8486 E
59.0759 N, 166.4839 E
33.5858 S, 173.6178 E
8.2101 N, 89.1494 E
78.7452 N, 11.1366 W
14.3862 S, 12.1011 W
34.6933 N, 81.4190 E
26.3638 N, 152.6022 E
83.4355 N, 52.5045 E
10.5393 N, 40.3030 E
33.0304 S, 164.6946 E
31.8532 S, 90.8346 E
12.2619 N, 68.9375 E
2.9133 S, 6.7793 E
62.7811 S, 174.3543 W
79.2207 N, 109.1581 W
81.6574 N, 47.5632 W
55.9821 N, 83.4960 W
71.2972 S, 70.4377 E
24.5253 N, 133.4326 W
25.0459 N, 134.9890 W
51.8379 N, 89.1850 W
30.7894 N, 63.0866 E
43.3133 N, 93.6037 E
51.7257 S, 113.9675 E
5.2524 S, 163.0124 W
71.8073 S, 83.0520 E
42.5087 S, 67.3102 E
79.1827 N, 52.5529 W
72.7972 N, 40.2205 W
70.7797 S, 134.7018 E
19.4945 N, 5.8919 E
22.3384 N, 49.8814 W
1.6706 S, 62.2321 E
42.1939 N, 9.4954 E
35.7478 S, 72.1966 E
13.2358 N, 63.7378 W
8.8251 N, 148.4505 E
46.6232 S, 98.2519 E
63.7319 S, 72.6665 E
11.6458 S, 114.1895 E
16.7787 S, 30.9655 W
73.2295 S, 1.8344 W
30.5424 S, 21.8874 E
22.2197 N, 33.2298 E
20.9289 N, 152.6234 E
61.9390 N, 117.0073 W
2.6607 N, 13.9856 E
20.0642 N, 134.2590 E
9.4042 N, 118.2716 E
75.6750 N, 43.3526 W
68.6224 S, 40.4437 W
22.1552 S, 140.1449 E
62.8304 N, 92.1283 W
54.3798 S, 25.1180 E
65.7092 N, 39.2828 E
67.4308 N, 29.6555 E
85.6367 N, 136.0657 E
79.9211 N, 17.4147 E
7.1894 S, 80.9827 E
26.8208 S, 97.1804 E
51.6787 S, 148.2728 E
53.8019 N, 53.5273 E
33.1832 N, 112.0036 W
71.5377 S, 106.1653 E
30.0752 S, 129.9113 W
89.1763 N, 22.0773 W
35.0730 S, 118.7245 E
2.3106 N, 44.7288 E
82.9587 N, 30.5406 W
21.6483 S, 48.3942 W
7.6006 N, 48.3933 E
51.0818 N, 113.5799 W
6.3589 N, 113.7826 E
71.4976 N, 38.5751 E
41.8022 N, 114.7143 E
25.8174 S, 36.1695 E
36.1212 S, 176.4905 E
44.9036 S, 141.0233 W
35.0774 S, 178.1446 W
37.2575 S, 105.1902 W
67.5890 S, 33.9943 W
65.9847 N, 129.4326 E
58.8453 S, 68.9567 W
48.5821 N, 12.1442 W
60.4509 S, 106.9250 E
5.6900 N, 1.3172 W
42.1844 N, 125.7299 W
72.5415 S, 28.3576 W
9.2172 N, 148.2740 E
62.2520 N, 145.7325 W
50.8080 N, 10.4063 W
40.2319 N, 119.4332 E
6.7752 S, 137.2792 E
52.9007 S, 132.1912 W
71.6747 S, 34.7476 E
24.2695 S, 121.7036 W
47.3712 S, 59.5756 W
27.0013 S, 63.3229 W
69.4151 S, 57.7384 W
38.0252 S, 19.1965 W
41.7671 S, 88.3479 W
69.6751 N, 95.4363 E
3.0861 N, 169.4093 W
40.5308 S, 53.4967 W
15.5508 N, 146.7989 E
52.7097 S, 19.4523 W
86.0450 N, 82.7346 W
53.0579 S, 168.9074 E
29.2083 S, 67.2033 W
58.0585 S, 95.8480 W
15.9822 S, 3.5139 W
70.2019 S, 152.4631 W
67.7008 N, 71.7349 W
86.0766 S, 4.0609 E
79.0445 S, 56.7537 W
44.6100 N, 31.2666 E
69.0602 S, 48.9581 E
30.8926 N, 113.1186 E
14.9307 S, 174.3175 E
22.5140 N, 71.3451 W
8.8210 N, 41.2267 E
50.4136 S, 12.8068 E
72.4252 S, 1.1712 W
34.6993 S, 108.3957 W
19.1126 S, 16.4656 E
24.6540 N, 83.4426 W
48.9409 N, 77.2684 W
24.7150 S, 116.1680 W
64.7037 S, 62.2949 E
9.4434 N, 27.7145 E
76.4118 N, 156.8360 E
12.8144 N, 20.4518 E
77.1633 N, 7.1303 E
81.6819 N, 66.8990 E
36.6496 S, 107.5754 E
59.1320 N, 132.5707 W
10.1548 N, 139.3256 W
50.5712 S, 23.0294 E
83.9938 S, 6.4400 E
3.1445 S, 179.3948 E
1.9492 S, 135.2004 W
48.3951 S, 41.9602 E
86.8771 S, 58.0964 E
79.0819 N, 103.0915 W
5.3759 S, 40.5390 E
45.2109 S, 146.1739 E
57.1512 N, 50.5047 E
30.1614 N, 50.0318 E
38.0909 S, 170.4731 W
16.1575 S, 121.6414 W
28.0852 S, 95.5183 W
6.7934 S, 78.2047 E
67.9381 N, 172.4225 E
77.9965 S, 12.9596 W
75.0015 N, 40.2917 E
47.8633 S, 142.8586 W
77.0415 S, 67.1184 E
46.0077 S, 154.1307 E
20.8639 S, 87.5704 W
44.8529 S, 42.5708 W
8.2836 S, 75.0973 W
16.3841 N, 60.7562 E
61.8964 S, 14.8759 W
10.3554 S, 29.9150 W
17.8019 N, 48.6180 W
38.6381 S, 4.8094 E
26.8738 S, 98.5278 W
59.0900 S, 103.9940 E
58.1474 N, 135.7495 W
80.7947 S, 14.2240 W
58.7733 S, 15.4794 E
76.9630 N, 157.0532 W
65.5851 N, 20.0098 E
53.4891 N, 2.0037 W
40.7559 N, 177.3615 E
24.4177 S, 3.6575 W
5.6725 S, 107.0842 W
55.5380 S, 164.8439 E
27.5736 N, 84.9925 W
20.4502 N, 85.1055 W
84.4350 N, 89.9198 W
88.4910 S, 164.1927 E
22.1326 N, 37.8033 E
48.8949 N, 153.4882 W
10.3883 S, 26.1059 E
1.2308 S, 115.5698 E
58.9179 S, 115.4790 E
26.8433 N, 72.0123 W
31.8098 N, 60.9005 E
17.8664 S, 29.2463 W
8.9955 N, 42.5464 W
4.4733 N, 50.3973 W
88.8102 S, 48.3223 W
63.4745 S, 50.6295 W
13.1943 N, 8.5357 E
14.2779 N, 107.7182 W
24.5282 S, 89.4310 E
22.5005 N, 120.8880 E
80.1753 S, 3.7496 E
15.4542 N, 51.9996 E
54.7345 S, 125.3564 E
46.6432 S, 5.0934 W
30.4148 S, 6.3190 W
74.4512 N, 101.1393 W
14.0445 N, 88.2948 W
61.1644 S, 65.4277 E
70.5591 S, 125.5326 W
43.5888 N, 44.2838 E
50.5244 S, 31.1696 E
65.5174 S, 113.9009 E
73.7937 S, 45.2941 E
53.5153 S, 24.7783 W
87.4072 N, 47.5847 E
19.6943 N, 172.3901 E
65.6345 S, 163.4547 E
43.9175 S, 112.8149 E
37.5897 N, 83.1614 E
53.1021 N, 91.8861 E
16.1941 N, 1.7665 E
61.2884 S, 114.6900 W
29.1729 N, 132.5901 W
21.6378 N, 41.0338 W
30.2291 N, 115.9011 E
37.8196 N, 131.3186 E
6.8137 N, 102.8344 E
40.0491 N, 37.5729 E
32.1985 S, 5.5292 E
23.7932 S, 2.6992 E
28.5943 N, 139.1266 E
45.6074 N, 77.0107 E
30.3427 N, 57.6947 E
83.6930 S, 160.1514 E
62.1953 S, 28.0466 W
8.0751 S, 40.4736 W
72.4322 S, 87.2792 E
40.5278 S, 168.2197 E
66.0663 S, 66.2196 W
6.0995 N, 135.5954 W
59.5468 N, 73.5227 W
31.9516 N, 21.3655 W
13.2274 N, 60.1350 E
86.7195 N, 35.4261 W
76.7334 S, 70.6084 E
58.3928 S, 20.8230 E
38.1450 N, 21.4224 W
8.7747 N, 55.3445 W
75.2725 N, 160.2010 W
20.2815 S, 113.5903 W
43.7698 S, 29.9987 W
25.7865 S, 177.7203 E
25.8247 S, 30.5563 E
62.0958 S, 87.0295 W
27.6277 S, 128.3964 W
26.4262 N, 164.7693 E
51.5008 N, 104.5787 W
41.5772 S, 39.9667 E
38.7087 N, 88.7166 W
44.0337 S, 50.6489 W
45.9349 S, 137.7314 E
44.5876 S, 113.7137 W
70.0557 S, 150.7240 E
44.1003 S, 93.0654 E
32.1361 S, 137.7829 W
65.1358 N, 70.4317 W
31.7562 N, 114.7518 W
51.7682 S, 34.2258 W
63.2555 S, 174.5252 W
17.0690 S, 85.1888 E
76.9808 S, 12.9499 W
69.1838 N, 41.9751 W
82.3322 S, 58.4266 W
6.3916 S, 73.1266 W
63.5320 N, 128.2647 W
30.9748 S, 57.5182 E
86.1301 N, 160.5749 W
87.9213 N, 107.8274 W
67.2467 N, 9.3988 W
73.1805 N, 4.0561 W
21.9957 S, 143.2593 W
38.4731 N, 29.9816 E
32.2857 N, 105.5093 E
16.2138 S, 18.2408 E
56.1530 S, 178.8655 E
45.0612 N, 37.4346 W
39.2022 N, 114.4232 W
65.5962 N, 177.0458 W
7.3009 S, 68.0225 E
44.2725 S, 54.1297 W
62.6734 N, 158.3213 E
67.1321 S, 93.8568 E
3.3290 N, 43.2098 E
30.0794 N, 149.7573 E
57.7936 S, 76.2848 E
65.6426 N, 80.5936 E
60.8804 N, 96.6745 E
35.4240 N, 156.0081 W
60.3636 S, 133.7098 E
23.0626 S, 81.5498 W
62.1966 N, 70.7870 E
52.6118 N, 18.9788 W
67.5815 S, 79.2596 W
20.0238 N, 116.2645 E
27.9872 N, 152.5391 W
31.7270 N, 40.7794 W
49.8653 S, 175.1816 W
75.0625 S, 128.5570 W
23.7434 N, 58.0761 E
79.4767 S, 0.1025 W
72.2551 S, 150.2070 W
43.3235 S, 98.3915 W
81.2450 N, 121.0829 W
78.0357 N, 92.7763 E
19.5354 S, 25.8959 W
43.1484 N, 100.5297 W
18.1636 N, 118.3034 E
79.9102 S, 52.8545 E
7.0730 S, 11.2604 W
60.1418 S, 171.5094 E
85.4408 S, 110.1708 E
83.1968 N, 97.4754 W
78.3398 S, 152.6844 E
25.7756 S, 67.7136 W
32.9851 N, 39.9802 W
44.9911 S, 70.4472 W
53.0048 S, 71.0857 W
29.9399 S, 63.9161 W
80.8052 S, 54.7001 W
34.8618 N, 118.2529 E
7.5922 N, 17.3771 E
28.4972 N, 90.9343 W
88.6902 S, 23.4389 E
57.7583 N, 23.9447 E
83.5154 S, 127.6683 E
65.4259 S, 0.1545 E
40.8092 N, 59.3560 E
38.3280 N, 168.7455 E
45.1586 S, 109.2564 E
82.0553 S, 88.9520 E
45.5245 S, 73.6416 E
47.7002 S, 109.9277 E
61.6217 N, 177.7078 W
7.1424 S, 15.8362 W
38.5067 S, 1.7674 W
55.7495 N, 55.5794 E
3.9391 N, 136.8646 E
2.0171 S, 81.0405 E
31.5990 N, 102.1094 W
5.7471 N, 0.2482 E
18.9958 N, 105.2750 E
80.9809 S, 176.4364 W
43.0873 S, 102.3818 E
81.1657 N, 78.7901 W
85.2355 S, 10.7439 W
13.1087 S, 165.4928 E
44.1177 N, 171.0862 E
82.3555 N, 45.5927 E
57.7476 S, 71.1950 W
83.4374 S, 141.3474 E
12.6405 N, 3.7589 W
7.8002 S, 1.1472 W
65.7185 N, 107.3421 W
54.2731 N, 57.9784 W
42.8431 N, 23.0551 W
87.2774 S, 13.2957 W
0.3212 S, 88.1432 E
49.7343 S, 44.4494 W
28.0020 S, 64.2890 W
33.3508 N, 48.8157 E
20.6762 N, 74.8855 E
56.4893 N, 150.2451 W
19.7149 S, 9.1055 W
19.3178 N, 106.2531 W
81.8199 S, 176.7292 W
62.7587 N, 10.1556 E
86.4666 S, 125.4209 E
51.8777 S, 83.2324 W
48.7743 S, 125.2941 W
60.4229 N, 72.8070 E
17.2670 S, 32.2994 E
10.6013 S, 42.7974 W
82.4018 N, 104.6174 W
85.3850 N, 76.9392 E
58.0105 N, 42.3129 W
89.5908 S, 117.4502 W
16.5632 S, 119.9189 E
40.4060 S, 115.5458 E
43.9595 N, 110.1615 E
34.2015 N, 104.0695 W
18.5054 N, 6.1454 W
73.1124 S, 83.7497 W
55.6367 S, 137.6087 E
28.4317 N, 55.3264 W
44.9470 N, 63.0106 W
32.9737 N, 138.2124 E
23.9315 N, 105.8487 W
78.0983 S, 157.6780 E
57.9664 N, 59.1970 W
8.4030 S, 96.3269 W
14.9187 S, 154.8795 W
26.3895 N, 121.7871 E
22.6778 S, 157.6237 E
36.4439 S, 12.8961 E
11.2618 N, 139.4591 E
39.8735 S, 31.4275 W
50.6008 S, 119.0563 W
54.5937 S, 5.4343 E
81.8925 N, 53.4615 E
31.8480 N, 111.4391 W
10.8406 N, 90.5063 E
4.0250 S, 42.8045 E
6.3656 S, 53.5577 E
29.4807 S, 68.8238 W
50.5749 N, 11.3541 W
38.7006 N, 168.8292 W
89.0794 S, 92.6894 W
80.7975 S, 6.9588 E
55.4095 N, 2.2700 E
25.7542 S, 30.9962 W
38.5946 S, 110.8713 W
54.9457 S, 48.7692 W
65.7241 N, 170.8027 W
53.5371 S, 49.1655 W
25.0419 N, 40.4335 E
76.6411 N, 130.2891 W
66.4398 N, 113.3635 W
46.5935 N, 158.5418 W
73.9839 N, 108.1716 W
40.4551 N, 36.6112 E
18.6342 N, 97.1240 W
49.9755 N, 9.4408 W
38.5855 N, 159.6621 W
43.5331 N, 144.8508 E
49.9090 S, 169.9537 E
81.7025 S, 83.7894 E
15.3481 N, 10.7532 E
63.3306 S, 57.9391 E
75.2172 S, 101.8222 E
20.7605 S, 85.9905 E
7.3951 N, 76.9296 E
50.3919 N, 43.7353 E
47.9101 S, 51.8780 W
85.4720 S, 112.6355 W
20.4370 S, 65.6288 E
85.9651 N, 29.9650 E
48.3985 N, 119.5734 E
5.4781 N, 159.2533 E
15.5880 N, 175.0230 E
54.4771 N, 55.5133 E
19.4659 S, 6.8757 E
80.1136 S, 4.2717 E
4.0532 S, 44.0039 E
12.1962 S, 131.4334 W
83.3481 S, 10.3385 E
85.3665 N, 44.9683 W
34.7396 N, 35.9252 E
14.1191 N, 96.9000 E
21.3236 N, 63.7933 E
22.3293 N, 151.4559 W
29.2643 S, 156.1508 W
11.4846 S, 134.6606 W
59.5368 N, 73.7188 E
33.2489 S, 157.7390 W
17.0785 N, 108.0350 E
16.9423 S, 127.5522 E
48.1386 S, 17.1057 E
71.9091 N, 90.2482 E
39.5258 S, 175.9489 E
31.3232 N, 23.2136 W
36.4316 N, 130.8676 E
16.0229 N, 70.9299 W
77.0751 S, 152.1708 E
1.3691 S, 163.1672 W
58.8769 S, 13.0456 E
2.7540 S, 149.8463 W
32.2414 N, 84.5812 W
17.3621 S, 159.0382 E
28.9198 N, 100.0847 E
7.7202 N, 104.4013 W
27.4870 N, 126.9897 W
48.7323 S, 41.5859 E
57.8492 S, 0.4678 E
52.9850 S, 120.3844 W
42.6407 S, 70.3284 E
45.9639 N, 145.5005 E
85.8258 S, 133.9680 E
47.8231 N, 98.5100 W
45.3413 S, 95.4549 W
74.7404 S, 153.3211 W
66.0111 S, 158.1308 W
1.8786 N, 138.8103 E
4.7928 N, 113.9861 E
25.0172 N, 21.4343 E
2.4888 N, 103.4017 E
87.1685 N, 113.1750 W
4.4099 S, 177.8521 E
37.6429 N, 16.5368 W
13.9178 S, 150.4953 W
47.1291 S, 27.7105 E
44.4314 N, 78.1904 W
8.8925 N, 57.5796 E
32.0443 S, 120.9368 W
76.0753 N, 100.6583 E
66.8210 S, 94.1822 W
14.0076 N, 103.9569 W
82.8633 S, 94.5694 E
57.0494 N, 61.6829 E
5.8716 S, 77.7931 E
68.6404 S, 169.2581 W
2.5133 N, 126.8259 W
41.9293 N, 75.1548 E
32.3077 S, 131.5002 W
32.6414 N, 66.8297 W
14.3210 N, 68.0076 W
22.4973 N, 7.0923 W
14.0647 S, 91.9340 E
49.3279 N, 68.7519 E
89.4665 N, 158.6263 E
70.8863 S, 110.0492 E
73.3075 S, 89.6709 W
62.0531 N, 83.8842 E
86.8022 S, 90.4706 W
24.6171 N, 93.3696 W
7.5071 S, 167.3157 W
65.8074 N, 85.1729 W
56.4614 S, 58.1103 E
41.7012 N, 128.4558 W
25.2209 S, 79.2784 W
79.2847 N, 147.3274 W
61.3503 N, 92.3343 W
44.3195 S, 107.0589 E
65.6273 S, 130.9262 W
61.8870 N, 54.7826 W
31.4156 S, 142.7458 W
35.6869 S, 83.6203 E
89.1903 S, 34.0748 E
89.6945 N, 176.8875 E
32.8616 S, 149.5922 E
52.6468 N, 27.5796 W
18.0767 N, 51.1005 W
37.6004 S, 18.4008 E
6.2754 S, 97.3890 E
19.4854 N, 102.8603 E
68.4114 N, 146.4089 E
69.4229 S, 69.6241 E
89.5270 S, 83.3816 W
2.2120 N, 90.3799 W
31.7017 S, 42.9203 W
52.4731 S, 155.7647 W
62.2777 S, 156.7482 E
29.8185 N, 179.9981 W
1.2390 S, 104.3950 E
44.1172 S, 105.6175 E
43.4048 N, 80.8249 W
26.7019 N, 80.8174 E
78.6920 N, 124.2479 W
65.4446 N, 126.5132 W
26.9315 N, 130.5100 E
73.8647 N, 56.6513 W
53.7476 N, 156.2038 W
38.8894 N, 174.1668 W
24.8140 N, 88.7051 E
3.8137 S, 178.1146 E
30.3885 S, 25.9762 E
29.7765 S, 54.8342 W
4.0235 S, 119.1245 E
83.5580 N, 40.9383 W
89.2977 S, 3.4493 W
27.3854 S, 63.1068 E
47.8086 N, 55.9140 W
71.7106 S, 34.1002 W
88.7332 S, 95.1572 W
35.5724 N, 38.3680 E
48.0305 N, 137.7557 E
71.1232 S, 40.0787 W
16.8242 S, 17.9621 W
68.2000 N, 27.7155 E
71.4466 S, 46.5048 E
7.2433 S, 168.5445 E
69.6201 S, 36.6906 E
18.9731 N, 162.2104 E
86.2911 N, 106.9398 E
12.1889 N, 79.9222 E
66.2779 S, 36.9395 W
82.9586 N, 149.0224 E
69.6433 S, 104.0434 W
47.2579 S, 115.4117 E
5.2713 N, 78.8762 W
64.8343 N, 80.6096 W
86.0515 N, 121.9918 E
45.4884 S, 18.5514 E
72.8472 N, 27.8983 E
79.1001 S, 20.8061 E
64.3600 S, 153.3799 W
38.8332 N, 103.9888 E
1.0451 S, 21.6699 W
18.6620 S, 44.7399 E
67.9707 N, 85.1749 E
4.2807 N, 70.2909 W
4.9992 S, 40.4827 W
85.7803 S, 41.2312 W
35.7022 S, 59.1602 W
87.9033 N, 110.8583 W
68.0170 N, 135.5997 W
10.1532 N, 1.5376 W
41.6745 N, 43.0542 E
67.4257 S, 150.6596 W
62.2813 S, 48.6780 E
62.3027 S, 178.8649 E
46.3589 N, 61.1718 E
41.4380 S, 74.9339 E
89.8685 N, 140.0729 E
54.0530 S, 12.6201 E
10.3564 S, 70.7631 W
88.3328 N, 5.5771 E
31.8730 N, 143.5653 W
86.4879 S, 121.7076 W
7.3242 N, 169.3854 W
73.6581 N, 122.3588 E
43.6603 N, 4.6824 W
59.2058 N, 130.8471 W
46.3136 S, 20.5077 E
85.1518 N, 156.5349 E
56.3439 S, 128.4137 W
84.5385 N, 14.8547 E
33.2721 S, 102.2522 W
63.1769 S, 87.2924 E
18.4263 S, 108.7232 W
60.4082 N, 107.8861 W
45.5529 S, 23.5092 E
77.5653 S, 65.0853 E
34.2473 N, 53.5560 E
24.6547 S, 89.1463 E
27.0046 S, 178.1699 W
12.0271 N, 166.5107 W
62.8084 N, 46.9332 W
89.8151 S, 87.6192 W
41.5792 N, 46.7745 E
56.2334 N, 64.9914 E
8.2989 N, 24.8287 E
65.7761 S, 31.3046 W
74.5376 N, 164.3685 E
42.4190 N, 87.6486 E
24.4235 N, 173.0278 W
75.6730 S, 74.3860 E
35.7639 N, 140.3667 E
32.5984 S, 47.4896 E
36.0656 N, 123.5828 W
34.1427 S, 143.4770 E
0.8362 N, 81.5945 E
89.7718 N, 39.8069 W
19.3222 S, 34.6690 E
77.0655 N, 144.8116 W
83.6056 S, 49.0006 E
10.0608 N, 85.7728 W
74.0675 N, 79.0715 E
37.5475 S, 175.1939 E
58.5919 N, 26.8360 E
69.3616 N, 26.5094 W
49.7526 N, 6.2320 E
19.9936 S, 71.8655 E
12.6492 N, 51.3807 E
2.7221 N, 20.5067 E
69.2740 S, 122.2568 W
51.3071 S, 30.4374 W
34.9241 N, 26.5307 W
16.8845 S, 80.1831 E
29.1669 N, 148.7723 E
29.4719 N, 98.9340 W
0.7650 S, 145.7360 W
37.1027 S, 67.5623 E
83.5282 S, 165.6762 W
33.1104 S, 77.8196 W
47.8265 S, 118.8766 E
45.6090 S, 0.0465 E
11.8485 N, 68.4011 E
66.2371 N, 108.3818 E
86.8752 N, 139.1508 E
81.5856 N, 112.2745 W
61.0256 S, 69.0458 W
30.2919 S, 85.6641 E
52.4091 S, 26.6253 E
69.1144 N, 37.9232 W
53.3340 N, 93.8781 E
48.9457 S, 125.1736 W
69.1448 N, 112.2449 E
51.7411 N, 27.6361 W
47.3359 N, 99.9000 W
37.9996 N, 158.5427 W
89.8385 S, 14.6207 W
0.9749 N, 1.5957 W
54.2219 S, 171.0015 W
63.8508 N, 83.7425 E
33.0656 S, 127.6152 W
20.6005 S, 38.7300 E
