Formatted Lat Long
35.6839 N, 139.7744 E
18.0256 N, 63.0492 W
0.5477 S, 166.9209 E
42.6633 N, 21.1622 E
17.8958 N, 62.8508 W
18.4167 N, 64.6167 W
46.7811 N, 56.1764 W
18.2167 N, 63.0500 W
13.2825 S, 176.1736 W
29.0569 S, 167.9617 E
78.2167 N, 15.6333 E
26.0928 N, 10.6089 W
25.0667 S, 130.0833 W
10.4167 S, 105.7167 E
54.2833 S, 36.5000 W
5.6681 N, 73.0302 E
25.0143 N, 121.4672 E
5.4442 N, 73.3662 E
16.0748 N, 108.2240 E
18.0583 N, 15.9621 W
18.0989 N, 15.9885 W
3.7571 N, 72.9689 E
5.1038 N, 73.0699 E
6.1509 N, 73.2901 E
3.4136 N, 30.9599 E
13.4500 N, 16.6667 W
1.1714 S, 36.8356 E
20.6464 N, 106.0511 E
8.2500 N, 34.5833 E
15.0669 N, 23.5892 W
0.5714 N, 33.7417 E
2.6717 N, 72.8936 E
20.7000 N, 101.8167 E
42.9875 N, 20.3256 E
1.4356 N, 31.3436 E
6.6223 N, 73.0702 E
0.5303 N, 72.9967 E
14.9889 S, 34.9591 E
13.7394 N, 106.9873 E
11.0153 S, 33.7722 E
53.2878 N, 6.3411 W
52.9779 N, 6.0330 W
4.3742 N, 73.6517 E
10.6374 N, 61.2823 W
11.4833 N, 104.9500 E
44.3042 N, 20.5561 E
4.2631 N, 72.9919 E
6.8874 N, 73.1140 E
25.2919 N, 51.4244 E
2.8000 S, 33.9833 E
0.4044 N, 32.4594 E
1.3965 N, 34.4509 E
43.5811 N, 20.2297 E
0.4919 N, 35.7430 E
20.5453 N, 105.9122 E
0.7085 N, 30.0634 E
3.4651 N, 31.2469 E
0.3533 N, 32.7553 E
10.6333 N, 103.5000 E
43.5836 N, 19.5258 E
52.3550 N, 7.7039 W
1.0634 S, 34.4731 E
15.8000 S, 35.6500 E
0.6703 N, 35.5081 E
43.9750 N, 21.2564 E
0.4989 S, 37.2803 E
2.1878 N, 73.0950 E
5.8811 N, 10.0447 W
0.7539 N, 73.4353 E
0.5633 S, 34.9358 E
53.5550 N, 6.7917 W
0.4031 S, 31.1572 E
0.6000 S, 73.0833 E
10.4544 S, 161.9205 E
44.7558 N, 19.6939 E
8.7678 S, 160.6978 E
18.0973 N, 15.9327 W
53.9469 N, 8.0900 W
21.3100 N, 105.5967 E
44.6633 N, 20.9289 E
12.2822 S, 43.7419 E
1.0112 N, 34.3311 E
43.7531 N, 20.0956 E
42.7000 N, 22.0667 E
0.7813 S, 35.3416 E
3.4718 N, 73.5470 E
43.4667 N, 19.8203 E
53.2667 N, 7.5000 W
0.9784 N, 34.3743 E
0.7210 S, 37.1526 E
0.3000 S, 73.4256 E
43.1408 N, 21.2678 E
43.4553 N, 21.0514 E
15.3503 N, 106.7286 E
53.8500 N, 9.3000 W
3.0567 N, 72.8900 E
18.3831 N, 103.6669 E
6.7111 S, 156.3972 E
7.4833 N, 80.3667 E
6.8000 N, 58.1833 W
44.0212 N, 20.4560 E
43.4167 N, 22.1167 E
15.5667 N, 108.4833 E
0.8492 N, 32.4731 E
46.3444 N, 14.1744 E
53.5333 N, 7.3500 W
0.4578 N, 33.4806 E
15.6594 N, 43.9439 E
35.3044 N, 1.1400 W
43.2856 N, 20.6092 E
53.7270 N, 7.7998 W
43.1519 N, 22.5850 E
43.9683 N, 12.4811 E
43.2339 N, 21.5861 E
43.3836 N, 21.0336 E
42.6950 N, 22.1672 E
46.1550 N, 15.0533 E
45.9383 N, 14.8044 E
52.8619 N, 8.1967 W
44.4500 N, 20.0667 E
43.8667 N, 20.1333 E
2.9217 N, 73.5811 E
5.2803 N, 115.2475 E
34.5428 N, 36.0797 E
43.8459 N, 20.0368 E
15.3981 S, 34.6534 E
3.3444 S, 29.4833 E
46.2272 N, 15.5192 E
0.0607 N, 34.2881 E
21.3924 N, 103.0160 E
5.9897 S, 39.2519 E
46.2208 N, 15.3139 E
44.3655 N, 20.9587 E
46.2542 N, 14.4886 E
13.0364 S, 33.4822 E
46.2375 N, 15.6397 E
16.0350 S, 34.8010 E
46.3800 N, 15.0486 E
0.8363 N, 33.6858 E
1.8342 N, 73.5031 E
53.0309 N, 7.3008 W
3.9736 S, 29.4386 E
43.0680 N, 22.4115 E
42.9667 N, 22.1333 E
44.1869 N, 19.3728 E
5.7669 N, 73.4136 E
44.3667 N, 20.1667 E
11.1811 N, 60.7333 W
53.9908 N, 7.3606 W
44.0000 N, 19.9167 E
44.2500 N, 20.0833 E
25.6839 N, 51.5058 E
0.8949 N, 33.5048 E
43.2178 N, 22.3067 E
6.1833 N, 6.7500 E
17.4797 S, 16.3333 E
1.9500 N, 34.9500 E
36.2583 N, 1.9583 E
1.3000 N, 34.7500 E
10.7167 N, 61.5667 W
46.2369 N, 15.0925 E
10.1741 N, 61.6841 W
31.7167 N, 35.8000 E
9.1031 S, 160.1506 E
1.2389 N, 35.1119 E
0.4772 N, 30.1925 E
4.9267 N, 6.2676 E
46.3000 N, 16.3333 E
25.4697 N, 51.3975 E
1.0433 N, 33.7975 E
44.9661 N, 19.6106 E
46.5058 N, 15.6972 E
10.6472 N, 61.4461 W
3.2704 N, 30.9553 E
46.3394 N, 14.9633 E
44.6200 N, 21.1897 E
44.3667 N, 19.3667 E
22.3991 N, 103.4393 E
46.2833 N, 15.0667 E
43.5000 N, 22.4333 E
11.5349 N, 106.8832 E
15.0833 N, 23.6500 W
43.9042 N, 22.2847 E
43.8667 N, 21.4167 E
42.9167 N, 21.7333 E
13.6532 S, 33.9385 E
2.8869 S, 29.1248 E
0.3375 N, 33.0106 E
0.9378 N, 30.8089 E
43.9408 N, 12.4475 E
11.9359 N, 108.4429 E
1.4167 N, 34.5333 E
44.2333 N, 20.9833 E
36.4481 N, 6.2622 E
1.1667 N, 34.3833 E
11.9118 N, 105.6582 E
8.7281 S, 125.5664 E
43.5383 N, 21.7047 E
9.1081 S, 32.9347 E
24.2558 N, 55.8025 E
46.1333 N, 14.4333 E
44.3667 N, 19.6000 E
7.4500 N, 151.8500 E
46.2038 N, 14.5407 E
24.4167 N, 118.3167 E
46.0333 N, 14.4000 E
46.0444 N, 14.8442 E
46.1369 N, 14.7450 E
44.0833 N, 21.4333 E
43.7500 N, 19.7167 E
0.2398 N, 33.8849 E
1.9845 N, 32.5340 E
45.9833 N, 14.5767 E
14.1167 N, 121.2833 E
43.9492 N, 12.4686 E
44.2213 N, 20.2375 E
45.0492 N, 20.0792 E
46.3119 N, 15.5792 E
46.1669 N, 14.5750 E
1.1942 N, 33.9222 E
6.1333 S, 39.2833 E
46.1864 N, 13.7361 E
43.7167 N, 21.3667 E
8.1448 S, 159.5905 E
38.8028 N, 125.5925 E
38.8780 N, 125.5871 E
46.3025 N, 14.4231 E
25.3722 N, 51.2047 E
1.8763 N, 32.0622 E
46.3176 N, 14.9467 E
14.3544 N, 108.0075 E
46.3833 N, 15.3667 E
43.9453 N, 12.4183 E
0.6263 N, 33.6003 E
0.9166 N, 33.9563 E
46.0167 N, 14.3833 E
45.8956 N, 13.6075 E
46.6472 N, 16.0442 E
46.5031 N, 15.7453 E
44.3992 N, 19.1214 E
46.0886 N, 13.6397 E
13.7973 S, 171.8531 W
46.6114 N, 15.1661 E
0.1578 S, 31.6042 E
6.8167 N, 1.7833 E
46.5500 N, 15.4950 E
43.9092 N, 12.4581 E
0.7008 N, 33.3002 E
46.5000 N, 15.6500 E
45.9778 N, 15.0956 E
6.3249 N, 8.1137 E
46.5208 N, 16.1975 E
38.3442 N, 125.5972 E
43.2906 N, 21.2847 E
45.7128 N, 14.4694 E
45.0031 N, 19.8289 E
43.1968 N, 21.8334 E
17.1503 N, 25.0201 W
25.5669 N, 51.4847 E
44.1500 N, 21.0833 E
3.5050 S, 38.3772 E
9.5144 N, 138.1292 E
18.4411 N, 73.0883 W
42.3667 N, 21.1667 E
46.4519 N, 15.6814 E
46.2456 N, 14.4197 E
46.3878 N, 15.4467 E
10.2000 N, 61.4500 W
1.7808 S, 37.6288 E
1.5180 N, 33.4589 E
2.5135 N, 30.9091 E
0.3831 S, 30.4650 E
46.3333 N, 15.0333 E
44.2167 N, 22.5167 E
54.8356 N, 7.4779 W
1.1883 S, 29.8461 E
13.6957 N, 44.7314 E
1.8500 S, 36.7833 E
0.0044 N, 30.3658 E
6.7362 N, 2.6587 E
45.9553 N, 15.0619 E
42.2128 N, 20.7392 E
19.5417 S, 169.2817 E
43.9092 N, 12.4833 E
10.8623 N, 0.2076 E
62.0978 N, 6.7369 W
0.1667 S, 31.7569 E
0.8411 S, 29.9419 E
25.4745 S, 30.9703 E
46.3817 N, 15.2958 E
0.5853 S, 30.2114 E
14.1817 N, 103.5176 E
46.1500 N, 16.8167 E
0.1818 N, 32.1158 E
0.9575 S, 29.7897 E
0.9061 N, 34.3578 E
44.7500 N, 21.5167 E
46.2294 N, 15.7003 E
46.0236 N, 14.2992 E
36.0431 N, 14.2172 E
43.0167 N, 22.7833 E
14.7040 N, 43.5990 E
45.6794 N, 14.1967 E
0.2989 S, 30.1336 E
44.3333 N, 21.0833 E
44.3783 N, 21.4194 E
44.2167 N, 21.2000 E
43.8247 N, 21.9519 E
0.6328 N, 30.6214 E
0.5022 N, 31.0414 E
16.1503 N, 13.5037 W
46.2897 N, 15.0389 E
2.4002 N, 32.8003 E
0.1539 S, 30.5319 E
1.0833 S, 35.8667 E
2.1178 N, 31.4116 E
34.4167 N, 5.0667 E
42.4300 N, 18.7000 E
44.6039 N, 22.6072 E
46.3375 N, 15.2264 E
46.6069 N, 15.6767 E
46.4147 N, 16.0139 E
46.3561 N, 14.7467 E
46.3686 N, 15.9064 E
1.1647 S, 30.0378 E
44.9833 N, 20.1667 E
0.6842 S, 30.0700 E
45.1283 N, 19.2264 E
46.5406 N, 15.3931 E
45.9144 N, 14.2258 E
46.4667 N, 14.8500 E
1.3169 N, 34.0506 E
1.6378 N, 32.8448 E
45.7386 N, 14.7275 E
0.2643 S, 36.3788 E
0.5567 N, 31.8022 E
46.3517 N, 15.7336 E
0.6167 S, 31.5500 E
46.2439 N, 14.9514 E
46.6817 N, 15.6481 E
43.0142 N, 21.7180 E
1.9167 N, 33.1720 E
36.0722 N, 14.2358 E
0.7806 N, 31.3236 E
46.1333 N, 14.5667 E
0.0772 S, 31.4567 E
45.9964 N, 13.5264 E
0.7200 S, 31.4839 E
42.6167 N, 20.9000 E
42.4647 N, 21.4669 E
42.8833 N, 20.8667 E
39.7229 N, 44.8485 E
45.9603 N, 14.5289 E
0.6583 S, 30.4581 E
36.5633 N, 53.0601 E
42.6900 N, 21.0778 E
42.3994 N, 20.6547 E
46.3667 N, 14.3167 E
6.2541 N, 124.9922 E
0.6260 S, 30.4359 E
46.3167 N, 14.9167 E
18.3592 S, 16.5795 E
46.0886 N, 14.6008 E
0.3792 N, 6.6375 E
12.8489 N, 102.6093 E
42.8222 N, 20.9694 E
13.8230 S, 171.9613 W
0.4161 S, 31.4081 E
0.7011 N, 32.2481 E
7.5905 N, 1.9395 W
9.5511 N, 1.1861 E
0.1772 N, 31.8811 E
12.0042 N, 107.6907 E
2.2447 N, 33.2547 E
44.2525 N, 20.6761 E
9.3129 S, 125.2565 E
46.1072 N, 14.1481 E
46.4367 N, 15.9536 E
9.2000 S, 124.3833 E
4.3500 S, 152.2736 E
46.2333 N, 14.1667 E
24.8667 S, 25.8167 E
2.0036 N, 33.6511 E
2.7017 N, 33.6761 E
1.4314 N, 33.7772 E
46.1667 N, 14.7000 E
1.8160 N, 33.3370 E
42.5300 N, 21.1386 E
46.6278 N, 16.3203 E
32.5319 N, 13.0175 E
42.3800 N, 20.8219 E
46.1256 N, 13.9817 E
45.8620 N, 15.2231 E
43.9061 N, 12.4214 E
62.1156 N, 6.7206 W
0.2111 N, 30.4208 E
13.8318 S, 172.0360 W
46.3456 N, 14.8350 E
8.5167 S, 127.0333 E
46.2769 N, 13.9550 E
46.4658 N, 15.7672 E
0.8686 S, 30.8302 E
41.9945 N, 21.5800 E
46.2361 N, 15.0183 E
13.1880 N, 32.7437 E
46.4036 N, 15.7911 E
27.0219 N, 90.1229 E
42.3833 N, 20.4333 E
4.8067 N, 114.6592 E
45.6847 N, 13.9703 E
4.1737 S, 39.4521 E
46.5695 N, 16.0235 E
0.2600 N, 6.7414 E
43.9261 N, 12.4981 E
45.3314 N, 17.6744 E
45.7800 N, 15.0728 E
36.6092 N, 127.2919 E
43.2833 N, 21.7167 E
10.2667 N, 61.3833 W
42.6603 N, 20.2917 E
42.3167 N, 21.3500 E
45.4053 N, 19.8869 E
46.6086 N, 15.8883 E
45.6461 N, 15.1822 E
46.3453 N, 15.9952 E
46.2000 N, 14.5000 E
17.6167 S, 18.6000 E
6.2058 N, 2.4894 W
46.6492 N, 15.8442 E
0.2725 N, 36.5381 E
36.6009 N, 126.6650 E
49.7489 N, 6.1061 E
34.9897 N, 126.4714 E
45.7717 N, 14.5058 E
46.4061 N, 15.8386 E
42.2467 N, 21.2553 E
45.8603 N, 15.0833 E
1.1517 N, 33.1550 E
42.3656 N, 19.3314 E
7.0123 N, 7.4864 W
15.2869 S, 167.9906 E
42.7467 N, 20.7886 E
62.1096 N, 6.7617 W
5.8550 S, 144.6311 E
2.6131 N, 32.3369 E
46.5767 N, 15.8769 E
46.6392 N, 15.6156 E
3.5297 N, 32.8016 E
2.2141 N, 32.3703 E
45.6109 N, 19.5274 E
46.5006 N, 15.8750 E
17.2014 N, 25.0917 W
42.9167 N, 21.2000 E
5.7000 N, 55.2333 W
45.6667 N, 18.9833 E
46.0550 N, 14.4172 E
46.3172 N, 15.6672 E
43.1833 N, 21.7167 E
46.3833 N, 15.9500 E
46.5744 N, 16.2906 E
42.9000 N, 20.8333 E
44.7475 N, 20.9761 E
44.4708 N, 19.8070 E
46.5836 N, 16.1653 E
45.8322 N, 14.6364 E
46.5683 N, 16.1386 E
2.8338 N, 33.3336 E
46.5217 N, 16.2811 E
45.9067 N, 15.2914 E
17.8814 N, 76.4092 W
45.8339 N, 14.9292 E
46.7067 N, 16.1564 E
26.1400 N, 51.2200 E
43.2203 N, 22.0258 E
45.8500 N, 14.6942 E
43.7167 N, 21.4500 E
44.9089 N, 19.9664 E
46.3917 N, 16.0497 E
27.2750 N, 91.2400 E
33.6374 N, 46.4227 E
41.0925 N, 45.3656 E
42.5005 N, 22.4728 E
5.8489 S, 142.9506 E
46.5719 N, 16.3469 E
46.7208 N, 16.0225 E
44.6167 N, 19.7833 E
27.3685 N, 89.2918 E
13.1483 N, 33.9311 E
43.6667 N, 21.5500 E
61.5544 N, 6.8063 W
8.7667 N, 12.7833 W
33.9953 N, 69.0227 E
42.3667 N, 21.3833 E
44.4833 N, 21.6667 E
9.9361 N, 43.1828 E
45.8153 N, 13.7483 E
46.6972 N, 15.9106 E
46.8369 N, 16.0833 E
10.1800 N, 125.5683 E
2.2514 N, 34.2501 E
14.1016 N, 15.5467 W
33.1757 N, 68.7304 E
42.7833 N, 20.4833 E
46.2953 N, 14.8083 E
46.1589 N, 15.8744 E
45.2269 N, 21.1217 E
8.0662 N, 0.1795 E
46.5706 N, 15.9436 E
42.8333 N, 21.5833 E
6.8036 N, 2.5172 W
24.3420 N, 56.7299 E
39.5544 N, 44.9826 E
46.3942 N, 16.2681 E
49.7656 N, 5.8908 E
46.4847 N, 15.9714 E
10.2992 N, 3.2508 W
45.7667 N, 15.0667 E
46.0750 N, 15.5603 E
47.3000 N, 29.1167 E
46.1569 N, 15.5986 E
45.9342 N, 15.1408 E
62.2448 N, 6.8150 W
45.6167 N, 20.0333 E
13.8745 S, 171.5986 W
10.5273 N, 0.3698 W
10.5667 N, 61.1333 W
12.1517 N, 68.2761 W
46.3833 N, 14.0833 E
46.8000 N, 16.0333 E
45.0514 N, 20.4247 E
46.5350 N, 15.2728 E
42.4254 N, 18.7712 E
43.8667 N, 21.1333 E
43.9167 N, 20.7167 E
46.3353 N, 15.8800 E
45.7611 N, 14.6356 E
27.1167 S, 31.2000 E
33.7218 N, 66.1302 E
46.5275 N, 15.9394 E
6.3909 N, 57.6038 W
26.8007 N, 91.5052 E
45.5292 N, 14.6979 E
17.4084 N, 121.2785 E
26.8639 N, 90.2674 E
2.0525 N, 34.5734 E
0.3586 N, 6.5525 E
45.2000 N, 20.3000 E
14.8714 N, 24.6956 W
42.0611 N, 20.6528 E
46.6064 N, 15.7847 E
11.4672 N, 26.1317 E
27.3333 N, 91.5528 E
12.7081 N, 15.5569 W
46.5167 N, 15.9000 E
40.9825 N, 47.8491 E
47.8161 N, 28.7972 E
27.0380 N, 91.4031 E
46.6875 N, 16.2256 E
2.6786 S, 118.8933 E
15.0339 N, 24.3250 W
46.5869 N, 15.3306 E
7.9281 N, 1.9756 E
0.2356 S, 30.8725 E
8.3100 N, 27.9900 E
45.3667 N, 20.7722 E
61.4733 N, 6.8175 W
6.8706 N, 10.8211 W
40.5858 N, 46.3189 E
9.5600 N, 44.0650 E
13.6715 S, 172.1777 W
30.1153 S, 28.6894 E
46.4842 N, 16.0836 E
46.5129 N, 29.6619 E
46.8000 N, 16.1000 E
15.6167 N, 13.3333 W
44.3562 N, 21.2143 E
44.5667 N, 21.2833 E
45.5522 N, 19.8017 E
2.9806 N, 34.1331 E
27.0989 N, 89.5360 E
45.2392 N, 13.9386 E
9.3646 N, 14.9073 E
42.2333 N, 21.0167 E
46.1367 N, 15.4089 E
2.6342 N, 32.0011 E
46.6514 N, 16.3525 E
45.7069 N, 19.6644 E
43.5708 N, 104.4250 E
35.3129 N, 69.5152 E
45.4850 N, 20.5497 E
3.0500 N, 33.2167 E
46.0500 N, 20.1000 E
2.5004 N, 33.5007 E
10.3059 N, 61.1756 W
41.2012 N, 48.9871 E
33.9506 N, 5.9242 E
39.3994 N, 45.1151 E
62.1990 N, 6.7432 W
42.9167 N, 20.6833 E
42.9089 N, 19.9644 E
14.2933 S, 178.1583 W
5.4219 S, 154.6728 E
18.8989 N, 103.0919 E
46.4411 N, 15.1956 E
45.6000 N, 20.1167 E
42.6100 N, 19.0500 E
23.3908 N, 57.4244 E
2.8139 N, 31.9387 E
13.9338 S, 171.5312 W
1.9167 N, 34.7833 E
13.7659 S, 172.3269 W
40.0387 N, 48.9429 E
42.0208 N, 22.5876 E
44.6530 N, 21.6320 E
8.4746 N, 81.6983 W
40.1098 N, 46.0445 E
42.7800 N, 18.9400 E
45.7011 N, 14.5911 E
45.6667 N, 20.6000 E
44.3800 N, 21.9440 E
13.5196 S, 172.6378 W
43.1000 N, 20.8000 E
1.5917 N, 10.8222 E
42.6000 N, 21.2000 E
22.5667 N, 59.5289 E
13.4513 S, 172.4018 W
13.7555 S, 172.3070 W
16.6158 N, 24.2983 W
42.6000 N, 21.4333 E
46.6847 N, 16.3978 E
40.5336 N, 48.9282 E
22.6906 N, 58.5334 E
46.4839 N, 13.7894 E
13.0000 N, 15.7333 E
46.2750 N, 15.7939 E
42.2897 N, 43.8543 E
62.0717 N, 7.3066 W
11.5900 N, 14.9900 W
42.5619 N, 19.8339 E
16.1641 N, 44.7769 E
39.7950 N, 47.1117 E
41.0893 N, 21.0109 E
9.5221 N, 45.5336 E
14.8833 N, 24.3000 W
15.1058 N, 37.5907 E
54.8653 N, 24.4682 E
11.5264 N, 42.8519 E
62.2079 N, 6.9997 W
62.2995 N, 7.0924 W
46.8250 N, 16.2981 E
13.7177 N, 123.7448 E
0.1342 N, 6.6494 E
62.1548 N, 7.1690 W
1.1987 N, 31.8062 E
55.3797 N, 23.1239 E
27.6116 N, 91.4980 E
21.0667 S, 164.8667 E
62.1186 N, 7.0737 W
18.4953 N, 102.4153 E
61.4055 N, 6.7090 W
62.0537 N, 7.1498 W
42.3514 N, 22.0921 E
46.4194 N, 14.6936 E
12.9092 N, 23.4706 E
13.8761 S, 167.5517 E
46.8233 N, 16.3342 E
61.5068 N, 6.7599 W
11.7956 N, 41.0086 E
37.8875 N, 58.5160 E
20.6245 S, 27.4488 E
45.5084 N, 14.9101 E
2.8375 N, 117.3653 E
62.3600 N, 6.5313 W
13.4489 S, 172.3352 W
40.9111 N, 49.0694 E
27.5168 N, 90.5000 E
9.0830 N, 1.8188 W
27.2169 N, 90.6579 E
11.5531 S, 160.0647 E
44.1979 N, 21.7902 E
61.8344 N, 6.8171 W
11.7120 N, 28.3462 E
55.3406 N, 26.1605 E
35.4206 N, 70.9226 E
18.9315 S, 27.8070 E
5.1974 N, 7.8758 W
4.6519 S, 11.8125 E
7.0667 N, 10.4875 W
16.0667 N, 22.8354 E
8.4774 N, 47.3597 E
1.0411 N, 30.4811 E
42.8250 N, 19.5180 E
61.8099 N, 6.6813 W
27.5492 N, 90.7525 E
7.9286 S, 14.4119 W
27.6679 N, 91.1839 E
10.6162 N, 47.3679 E
62.2917 N, 6.6702 W
61.8314 N, 6.6623 W
27.0753 N, 89.8769 E
20.9000 S, 167.2667 E
62.3263 N, 6.3238 W
20.5636 S, 26.2244 E
9.3832 N, 82.6521 W
46.3833 N, 14.4667 E
26.5833 N, 12.7667 E
46.3611 N, 108.3611 E
42.9500 N, 19.1000 E
43.1528 N, 18.8394 E
37.0675 S, 12.3105 W
61.7710 N, 6.8050 W
13.3753 S, 34.0036 E
27.9067 N, 89.7304 E
24.6017 S, 24.7281 E
19.9333 N, 56.3167 E
27.4471 N, 13.0517 E
5.2667 N, 59.1500 W
8.0778 N, 77.5583 W
21.3547 N, 17.0016 E
42.3067 N, 21.6500 E
42.4667 N, 21.7667 E
0.2222 N, 33.2061 E
18.3419 N, 64.9332 W
