5.9120 N, 56.5964 W
6.5983 S, 130.7448 E
51.2967 N, 106.9826 W
18.6591 N, 141.8504 E
25.5467 S, 26.6245 E
10.8321 S, 24.3293 W
74.9677 S, 137.6375 E
66.2972 N, 10.9694 E
53.1803 N, 21.8809 W
60.4201 N, 31.3661 E
1.7938 N, 142.9173 W
68.7887 S, 113.0537 W
15.7251 S, 84.7833 W
48.7321 N, 89.9584 E
50.3503 N, 18.7977 E
54.6340 N, 65.4363 W
24.1152 N, 161.7855 W
6.7641 S, 83.7381 W
70.6430 N, 15.8190 E
50.6359 S, 178.5334 W
59.4733 N, 67.4351 W
70.3804 N, 113.6691 E
10.0437 N, 97.4702 W
32.3910 N, 108.5741 W
35.0642 S, 159.0971 E
45.7423 S, 18.4385 W
75.9702 S, 26.4438 E
17.5136 N, 116.1156 W
79.6749 N, 28.8510 W
50.4433 N, 140.7346 W
5.2541 N, 63.2778 W
23.6089 S, 18.0439 E
15.1589 N, 176.7828 W
36.4737 N, 0.2570 E
28.7540 N, 146.1590 W
49.3229 N, 174.2363 W
36.5361 N, 89.5617 W
41.7333 S, 72.8283 W
17.1309 S, 33.4159 W
19.5824 S, 89.7841 E
64.6347 S, 6.9802 W
41.8586 N, 172.3619 W
74.1975 N, 93.3291 W
85.0503 N, 34.0937 W
76.3893 S, 48.3262 W
81.1142 N, 178.7549 W
26.2082 N, 132.3807 W
44.7021 S, 5.9207 E
35.6772 S, 100.3242 E
41.3503 S, 127.8712 W
39.7782 N, 43.7950 E
24.7319 N, 28.7995 W
85.4590 S, 86.0793 W
76.7528 N, 102.8875 E
12.0615 S, 16.9378 E
73.8656 S, 140.0644 E
46.0032 N, 55.6634 E
21.3162 N, 115.7502 W
12.6388 S, 6.0379 W
79.0155 N, 158.2322 W
56.5136 N, 148.8929 W
28.6800 S, 2.5655 E
70.8688 S, 172.9891 W
44.1863 N, 99.5616 E
89.3232 S, 42.0865 W
87.3603 N, 6.3512 W
68.2603 S, 105.8245 E
4.3046 S, 25.8867 W
49.7709 S, 90.4001 W
35.2776 S, 85.5199 W
24.7566 N, 124.9901 E
51.4316 S, 111.8375 E
88.3449 S, 27.0845 E
66.7961 N, 17.9679 W
0.8095 N, 6.5811 E
44.2018 S, 44.4290 E
45.6962 N, 120.0333 W
81.4491 N, 45.8856 W
46.9281 S, 18.6549 W
50.5906 S, 171.9232 E
51.0328 N, 159.2074 W
9.7854 N, 72.9357 W
64.8194 S, 170.2065 W
3.7906 N, 109.7084 W
88.6665 N, 75.4110 W
33.3150 N, 167.1181 W
80.2677 N, 21.9414 W
8.6291 S, 90.9258 E
40.2910 S, 92.4902 W
82.9186 S, 88.5361 W
20.4088 S, 174.5277 W
89.2338 N, 95.1218 W
5.9316 S, 49.2782 E
55.8008 N, 147.1990 W
12.4771 S, 151.2403 W
18.2848 S, 147.6209 E
67.6044 S, 4.2521 E
46.0687 S, 91.0045 W
54.8605 S, 34.8724 W
16.3267 N, 75.5938 E
39.7329 N, 174.5031 E
75.1928 S, 77.8337 E
20.6862 S, 102.9207 E
42.9520 N, 104.0756 E
79.8939 S, 49.4885 E
11.5202 N, 74.2487 W
20.0660 N, 63.3340 W
23.0543 N, 167.5188 E
28.5357 N, 15.8886 E
37.1594 S, 125.0823 W
88.5678 S, 52.8283 E
30.7653 N, 149.3804 W
47.1796 N, 30.3497 E
47.9591 S, 161.5066 E
1.4609 N, 151.9667 W
80.6075 N, 132.5979 W
39.1728 S, 114.1314 W
56.1020 S, 114.4717 W
55.1071 N, 90.6965 E
84.4452 S, 169.9704 W
3.8900 N, 24.1527 W
26.5932 S, 108.2062 E
78.5044 S, 100.5093 E
63.6871 S, 118.5966 E
47.0874 N, 171.1847 W
64.7474 N, 115.4931 E
38.8271 S, 60.4333 E
51.9919 N, 27.8858 W
25.0303 S, 114.4175 W
35.8711 S, 145.3460 E
30.0979 S, 110.6537 E
71.5037 S, 8.1282 W
35.4165 N, 160.5955 E
29.5611 S, 170.6464 E
89.6981 S, 105.3535 E
38.6912 N, 118.8168 E
25.2650 N, 150.1305 E
83.0383 S, 41.6113 E
61.0165 S, 167.3307 E
81.7936 S, 19.2153 W
39.7913 N, 87.0952 E
53.6914 N, 42.9832 E
85.7013 N, 53.2407 E
63.2435 N, 163.8103 E
17.0281 N, 85.1326 W
60.9220 S, 80.0207 E
0.2463 S, 176.4056 E
37.5835 N, 88.7120 W
62.9667 S, 166.6726 W
51.5225 S, 22.8601 W
82.6708 N, 157.2258 E
66.3717 N, 142.6969 E
1.4371 N, 171.0821 W
11.3795 S, 97.9348 E
14.6311 S, 177.4041 W
58.8313 N, 22.6129 E
7.6293 S, 177.1151 W
45.0892 S, 49.2842 E
68.2372 N, 103.5399 W
22.1419 S, 164.6744 W
34.0103 S, 172.1855 E
56.2308 N, 124.7965 E
1.8657 N, 132.3765 W
58.6529 S, 77.8507 W
35.0922 S, 3.3169 E
41.4219 S, 22.1927 E
64.0285 N, 64.0888 W
53.5294 N, 46.3308 W
60.7079 S, 17.1686 W
27.7832 N, 177.1130 E
35.7448 S, 145.7919 W
1.4447 S, 126.9726 E
13.7385 N, 9.0467 E
81.7362 N, 107.5595 E
46.5696 S, 40.4869 W
53.8566 S, 31.9709 E
32.7112 S, 97.8319 E
13.2281 N, 68.7839 W
20.9655 N, 159.1953 E
63.6561 N, 33.2961 E
73.1527 N, 63.8166 W
40.5888 S, 56.4719 W
73.1270 S, 47.5157 E
50.5430 S, 59.8608 W
79.7311 S, 158.4645 E
76.7053 N, 94.4348 E
69.3790 S, 123.1792 E
39.2927 N, 95.1509 W
71.4823 S, 2.6809 W
68.5803 N, 34.4604 W
62.3130 N, 136.8676 W
22.6717 S, 55.8884 W
18.1031 S, 88.9037 E
19.6925 N, 16.6692 E
75.2350 N, 155.9763 E
58.6554 S, 135.5130 E
56.8517 S, 127.0400 W
25.5358 S, 61.4055 E
5.0437 N, 153.9839 W
66.5097 N, 52.7098 E
88.3528 S, 66.7496 W
42.3117 N, 12.5989 E
20.7037 S, 46.5716 W
35.7510 S, 126.4260 W
27.7022 N, 83.8085 W
70.0422 N, 178.1082 W
54.3215 S, 28.5475 W
69.6401 N, 84.2525 E
47.4990 N, 29.3620 W
68.6577 N, 15.4768 W
83.2107 N, 17.9019 E
77.1799 S, 67.7636 W
13.9448 N, 7.8374 E
44.9509 N, 101.3922 E
63.2305 S, 140.1408 E
36.1520 S, 66.4130 W
56.1184 N, 6.3712 E
42.3935 N, 50.9236 E
49.3877 S, 71.6307 E
34.9951 S, 35.7293 W
34.4390 S, 95.8887 W
33.0137 N, 16.9734 W
66.6872 N, 135.3772 E
38.2928 N, 61.7664 W
62.6896 N, 89.5326 E
23.3344 N, 75.6408 E
56.1032 N, 19.8782 E
60.3701 N, 166.9062 W
54.7835 N, 69.0125 W
42.4214 S, 91.1588 E
42.5479 N, 111.5627 E
0.0054 N, 150.1020 W
59.5852 N, 27.4232 E
18.2580 S, 134.2831 E
70.5655 N, 66.5853 E
88.9976 N, 109.3460 E
14.6184 S, 162.0633 E
35.5410 N, 147.8090 E
27.2160 S, 111.3606 E
19.2937 S, 86.4352 E
82.2185 S, 168.6334 E
5.0204 N, 137.1880 W
56.6408 S, 81.8562 E
4.0763 N, 98.4635 E
7.0080 S, 71.6680 W
35.6883 S, 37.0931 W
4.9289 N, 109.7954 E
74.1897 S, 149.5847 W
47.9266 N, 18.5572 W
48.1823 S, 4.3005 W
7.7291 S, 55.0528 E
71.6217 N, 14.4470 E
52.9529 S, 109.9838 W
58.2168 S, 91.1892 W
49.5359 N, 1.1670 W
0.8938 S, 41.3920 W
39.5965 S, 84.1565 W
77.6438 S, 9.3077 E
71.5879 S, 122.7803 W
13.6677 S, 66.0982 W
49.4041 N, 27.0610 W
14.6057 S, 178.4442 E
75.6323 N, 42.4384 E
72.9369 N, 100.0702 W
49.6040 N, 41.7569 E
44.1426 S, 173.6052 E
37.3202 N, 108.2556 W
61.0292 S, 43.3538 E
78.9623 N, 169.2800 E
82.6359 S, 159.9582 E
46.2467 N, 108.6347 W
53.0748 N, 20.4304 W
16.3125 N, 158.2137 E
5.3545 N, 91.7448 E
39.6895 N, 105.8408 E
82.7839 S, 111.5016 E
44.5424 N, 24.5235 W
70.0870 N, 167.2311 E
23.3970 N, 176.9600 E
55.1881 N, 88.0744 W
7.0537 S, 173.0102 W
50.1163 N, 65.6991 W
35.4358 N, 92.3725 E
10.9847 S, 8.9525 W
41.1903 S, 159.4922 W
71.7658 S, 137.9451 E
77.5219 S, 53.1428 W
57.7557 N, 30.7773 E
46.6331 N, 116.8042 W
77.3086 S, 64.0631 W
38.3804 N, 108.6859 W
54.3062 S, 11.6585 E
89.4101 S, 74.5932 W
42.2515 S, 17.0305 E
30.0994 S, 21.7032 W
0.2087 S, 31.8110 E
49.7152 S, 118.6816 E
11.4539 N, 7.2605 W
58.9693 S, 116.4645 W
49.8215 S, 39.6132 E
17.3372 S, 86.6543 W
48.5982 S, 53.4215 E
6.1181 N, 83.1189 E
28.4609 N, 48.3177 E
49.9325 N, 135.8077 E
63.6296 S, 53.2918 E
28.8298 S, 70.4976 E
51.5933 S, 13.5623 W
58.1469 S, 15.8593 E
58.7912 N, 150.9161 W
22.9250 N, 64.0561 E
42.5001 N, 127.0195 E
6.8128 S, 87.2371 W
80.6203 N, 42.2466 W
31.0194 N, 98.8537 E
72.9335 N, 128.7537 E
25.8705 S, 52.1894 E
43.6309 N, 152.2765 E
69.5383 N, 84.0118 W
86.9832 S, 22.4817 E
68.8095 S, 81.3491 E
74.6186 N, 69.6164 W
56.1803 N, 75.5809 E
66.7024 N, 179.2970 W
63.7490 S, 88.5178 E
53.2315 N, 19.2759 W
58.3828 N, 29.1619 E
10.8571 N, 136.3894 W
62.6709 N, 129.0677 W
72.0022 N, 59.3642 W
22.8926 S, 12.3699 W
6.5442 S, 172.6161 E
22.0580 S, 57.2585 E
35.6981 N, 25.1228 W
31.4323 S, 41.0880 W
45.0520 S, 179.8388 W
28.8026 N, 58.6904 E
43.4586 S, 49.8592 E
59.2739 S, 67.9610 W
52.4560 S, 140.7066 E
24.8936 N, 79.8665 E
85.1477 S, 22.4331 E
32.1439 S, 78.0105 W
29.8556 S, 77.2060 W
20.6418 S, 18.9026 E
32.8784 S, 128.9150 E
22.9523 S, 108.9807 W
73.2434 S, 120.7702 E
47.2565 N, 163.8309 W
61.9889 N, 37.5590 E
78.3632 S, 153.2754 W
28.7771 N, 54.7249 E
22.9880 N, 177.6485 W
23.3938 S, 52.3695 W
75.7351 N, 71.9458 W
4.2351 S, 125.6190 W
70.8060 S, 136.7889 W
9.7843 S, 168.2901 E
74.1256 S, 56.2756 E
52.8808 S, 28.8094 W
5.6320 N, 97.2309 E
83.7678 N, 174.2116 W
79.3963 N, 135.8045 W
53.6116 N, 74.6328 W
27.3905 S, 96.4056 E
79.0764 S, 168.7744 E
39.4153 N, 80.5946 W
60.9485 N, 142.1966 E
30.9633 N, 143.9006 W
37.6864 N, 46.2235 E
54.3371 N, 59.0841 E
77.6805 S, 157.6642 W
24.5402 N, 175.4147 E
16.0578 S, 147.3368 E
62.3214 S, 26.4133 E
49.9271 S, 160.6658 E
15.6718 S, 146.3406 E
68.2555 S, 62.5968 E
77.4749 S, 29.2798 E
56.9181 S, 3.9083 W
54.8712 S, 86.3694 W
40.4583 S, 83.2768 E
7.9421 S, 106.6118 E
86.0850 S, 156.4189 W
63.4267 N, 64.4376 E
23.8265 S, 128.6861 W
78.7875 S, 2.2366 W
58.6892 S, 44.5197 E
57.8038 N, 97.1091 W
39.7611 N, 78.2019 W
58.3667 N, 142.8176 E
34.1488 S, 93.2460 E
21.1887 S, 140.6309 W
38.8234 N, 15.4952 E
61.4440 S, 153.0465 W
46.8938 S, 101.6570 E
28.8024 S, 146.0943 W
28.3431 S, 10.1009 E
41.8803 S, 86.7279 E
54.2541 S, 18.2220 E
18.7260 N, 129.0207 E
36.7153 S, 69.5449 W
28.4990 S, 93.8038 E
27.3854 S, 29.7473 W
16.6339 S, 54.0510 E
47.2912 N, 44.1308 W
30.5417 S, 54.0664 W
87.1557 S, 14.4762 E
69.9701 S, 158.5309 E
79.1899 N, 118.0123 E
63.9071 N, 156.9418 W
51.8111 S, 38.7604 E
1.1893 N, 14.4940 E
65.4488 S, 166.3988 E
56.5061 S, 92.0639 W
65.7821 S, 123.7222 E
86.1435 N, 161.3891 W
81.5763 N, 13.8785 E
2.2020 S, 28.5084 E
23.8738 N, 137.0465 W
46.9286 S, 85.8074 E
86.3057 N, 26.9657 E
13.6339 N, 160.4142 E
25.3119 N, 177.7022 E
45.0398 N, 78.5984 W
65.2334 N, 71.5634 W
19.6224 N, 22.0318 W
32.0745 N, 60.7163 W
15.7048 N, 132.8579 E
8.1450 S, 119.7378 W
74.8028 N, 19.3430 E
44.7660 N, 149.8996 E
75.0930 S, 103.5266 W
69.7875 N, 126.7581 W
88.8317 N, 9.9472 E
52.5657 N, 6.1657 E
40.4745 S, 141.1505 E
44.9056 N, 104.3739 W
48.7896 S, 144.2893 E
25.6818 N, 64.4824 E
9.7045 N, 46.1272 W
41.7629 S, 15.0359 E
58.5484 S, 24.2295 E
17.6652 N, 150.4615 W
57.4128 S, 68.5107 E
60.0329 N, 95.4452 W
80.3957 S, 155.4885 E
9.3878 S, 165.2285 E
81.7306 N, 131.9215 E
64.6922 S, 123.3597 W
67.0003 N, 179.8309 W
23.7611 S, 132.4917 W
54.1429 S, 65.2783 W
55.9257 S, 116.6688 E
44.0248 N, 152.6361 E
73.6390 N, 3.4171 W
24.4595 N, 74.2691 W
56.8945 N, 120.0705 E
83.6328 N, 141.7599 W
54.5987 N, 73.3122 W
5.4548 S, 21.8840 E
81.4545 N, 44.5488 W
82.1199 N, 5.7507 W
28.6992 S, 78.7081 W
55.6326 S, 27.5828 W
89.3059 S, 77.6206 E
61.7543 S, 68.7420 W
14.2508 S, 175.3162 E
50.1911 N, 4.4224 W
15.7706 N, 178.9269 W
73.2247 N, 27.3118 E
28.2699 N, 120.7767 W
17.7221 S, 42.4288 W
14.5282 S, 170.1069 W
49.7691 S, 68.2200 E
67.3174 N, 163.7230 W
40.6958 S, 119.6649 E
11.7907 S, 118.7861 E
55.3002 S, 177.0897 E
72.9226 N, 72.9555 W
43.4705 S, 6.0156 E
9.9157 N, 154.7404 E
80.9127 N, 105.5774 W
81.1045 N, 115.6086 W
66.7371 S, 9.8366 W
10.2786 S, 139.0567 E
75.4163 S, 37.8416 W
56.5887 N, 176.1214 E
15.0954 N, 161.1294 E
9.7513 N, 128.5500 W
23.2523 N, 146.9240 E
83.1336 N, 66.3319 W
35.1488 S, 69.1054 E
35.4675 S, 105.3256 W
16.5770 S, 135.4022 W
88.0717 S, 144.3255 E
33.8075 N, 31.3878 W
76.3184 N, 56.4729 E
8.0599 S, 109.4607 W
32.8473 N, 113.6946 E
11.3393 N, 88.8281 E
78.0966 S, 166.0038 W
33.4575 S, 74.6171 W
9.5447 S, 74.9188 E
78.6478 N, 156.8917 E
75.0020 S, 21.3563 E
45.4601 S, 131.8377 W
30.5213 N, 92.8206 W
33.9508 N, 94.1389 W
77.0764 S, 50.7817 E
88.9656 S, 44.6396 W
83.6275 N, 48.9388 E
48.2038 N, 20.5263 W
71.8086 N, 1.5888 W
62.9490 S, 111.7872 E
32.2525 S, 36.0626 W
35.1175 S, 112.4167 E
63.8031 N, 72.1128 W
15.1771 S, 61.3156 E
36.4469 S, 91.2048 E
29.2217 S, 13.9745 E
42.7393 S, 78.8637 W
1.0070 N, 165.2755 E
78.7108 N, 152.4617 W
80.3459 N, 35.1733 E
4.8321 S, 127.6484 W
33.2598 S, 70.6148 E
13.2788 S, 124.8578 E
72.9249 N, 52.2599 E
59.6076 S, 16.1549 W
61.7297 S, 169.1261 W
0.6057 N, 22.2050 W
43.9130 S, 38.9810 W
72.1161 S, 37.7072 E
1.5774 N, 91.9935 E
89.3153 N, 73.2723 E
88.9861 N, 155.0689 E
69.0441 N, 113.0744 E
86.9088 N, 116.8432 W
87.5823 S, 5.9689 W
15.5677 S, 100.6074 E
53.1822 N, 174.5156 E
2.1446 N, 3.7328 W
5.5223 N, 29.7010 W
61.5383 S, 136.6962 W
0.1156 N, 102.4912 W
14.6673 S, 5.6908 W
3.6644 S, 153.1678 W
13.9325 S, 66.5494 E
68.4703 S, 83.0994 E
4.5003 N, 172.3092 W
35.2048 S, 114.0905 E
24.0891 N, 11.1568 E
7.3146 N, 152.8380 W
70.8748 N, 73.4294 E
26.0747 N, 103.9390 E
62.2905 N, 170.0016 E
80.2589 S, 9.0255 W
3.8630 S, 51.7718 E
49.9335 S, 27.3544 W
68.3164 N, 145.2563 W
46.9462 N, 109.2294 W
16.5644 S, 9.4632 E
56.7343 N, 141.5324 W
44.8668 S, 113.4494 E
47.1732 S, 81.8399 W
8.1119 S, 130.1625 E
29.3683 N, 112.6545 E
39.7869 S, 176.9665 E
85.8786 S, 120.7950 E
49.1281 S, 14.9824 W
66.7494 S, 145.1638 E
77.5779 S, 15.9945 E
2.1411 S, 42.7213 W
39.6434 S, 22.5520 E
11.9275 S, 118.1781 E
63.5137 N, 90.6163 E
71.4317 S, 144.5437 W
84.0848 S, 64.0156 W
86.3627 N, 13.5770 W
79.6657 S, 167.7330 W
30.9290 N, 5.3391 W
52.8618 N, 154.6870 E
37.5602 N, 16.1882 E
35.9796 S, 93.4050 W
82.1539 N, 4.1457 W
13.6817 S, 129.3288 W
31.0861 N, 46.2136 W
56.2901 N, 141.3613 W
7.5849 N, 134.1316 W
35.7130 S, 113.8660 W
77.8416 N, 85.8189 W
62.0641 S, 176.0491 E
58.3051 N, 50.4044 W
8.7133 N, 32.1404 E
9.4500 N, 67.9160 E
89.9670 N, 38.8255 E
3.2370 N, 24.4517 E
80.5946 N, 43.4349 E
74.1582 N, 120.9773 E
14.8873 S, 137.1463 E
35.9245 S, 50.9083 E
70.9494 S, 112.1323 E
77.4684 S, 4.6077 W
75.0072 N, 8.8123 W
53.1946 S, 52.1105 E
3.8448 N, 58.3069 E
15.0969 N, 35.6919 E
11.9547 N, 115.1047 W
12.3064 N, 48.8163 E
12.2319 S, 32.3932 E
4.9116 N, 157.0443 W
33.0882 S, 101.4346 W
41.6114 N, 65.3194 E
72.7223 S, 129.7948 E
7.6777 S, 120.5716 W
60.9061 N, 44.5076 W
30.2023 S, 94.4132 W
17.7278 S, 80.2524 W
68.5910 S, 152.7340 W
14.2042 S, 128.6068 E
77.2470 S, 116.3845 W
54.3570 S, 59.3201 E
10.4332 N, 6.4527 E
70.4163 S, 171.0817 E
47.6810 N, 43.1343 E
84.4741 S, 40.4234 W
83.7546 N, 128.3488 W
88.1546 N, 38.3111 E
69.4622 N, 10.1339 E
59.3445 S, 126.1216 W
44.9749 N, 65.5440 E
83.7960 N, 179.5822 E
89.2022 N, 23.3548 E
63.5537 N, 11.5591 W
9.4553 N, 152.0724 W
1.9137 N, 135.7737 W
82.7471 S, 125.9984 E
46.3913 S, 41.2128 E
42.8823 N, 5.2306 E
10.3808 S, 57.7200 W
14.7409 S, 113.4791 W
42.7650 S, 177.4935 W
1.7357 N, 136.5968 W
74.9233 N, 103.6930 W
61.3180 N, 166.6120 E
16.2275 S, 19.7996 E
22.8065 N, 75.0162 E
36.5953 S, 171.6188 W
51.2093 S, 109.8965 E
84.4574 S, 11.3909 W
16.4108 N, 125.0268 W
58.2163 N, 79.2435 W
76.1453 N, 99.6830 E
4.4665 N, 118.7298 E
65.5440 S, 37.2654 W
37.7863 S, 99.1183 E
79.2074 N, 46.1526 W
85.3623 N, 10.0196 E
79.9118 N, 150.3983 E
50.3742 N, 26.2585 E
20.5229 S, 9.9492 E
65.3834 N, 3.2203 E
18.1615 S, 11.9752 W
30.0609 S, 149.5949 E
15.4954 S, 135.7412 E
11.7109 S, 142.3713 E
33.7737 N, 72.0477 W
36.5238 N, 87.2844 E
48.5426 N, 25.6143 W
74.2520 N, 151.2258 W
76.5277 S, 133.3352 W
25.5821 S, 100.1146 E
40.1070 S, 114.0187 W
26.8308 N, 120.7937 W
36.1271 S, 9.5936 W
34.0128 N, 0.7890 W
33.2776 S, 42.5908 W
14.5865 N, 155.3886 W
27.0413 N, 24.9609 W
9.6992 S, 137.2497 E
7.4293 S, 27.9421 E
36.8655 N, 140.0719 E
70.4868 S, 147.2533 E
36.9964 N, 172.9952 W
82.9512 N, 56.1773 W
36.9767 N, 21.1960 W
24.0851 S, 51.4254 E
63.9392 S, 63.3038 E
88.3713 S, 179.1513 W
82.4321 S, 145.2933 E
64.9701 S, 81.7121 W
72.9623 N, 138.7963 E
44.5591 S, 163.9078 W
23.2990 S, 46.1901 W
50.3674 N, 130.9792 W
43.2881 N, 111.1890 E
40.2477 S, 112.5929 E
46.3556 S, 153.2019 E
78.5278 N, 115.0426 W
65.7453 S, 167.7900 E
68.9013 S, 34.9858 E
21.3563 S, 153.3587 W
7.0187 N, 47.4090 E
10.2537 S, 131.2443 E
54.6615 S, 102.1070 W
8.3268 S, 69.3756 W
64.5633 N, 31.1469 E
1.6147 S, 179.8712 W
52.9710 N, 19.5503 W
59.6300 S, 78.8932 E
71.2662 S, 88.1130 W
65.7261 N, 164.4496 W
85.0805 N, 36.8000 E
80.2828 S, 104.9993 W
60.9343 S, 58.6353 E
72.0876 S, 124.4430 E
46.9753 S, 27.7988 E
18.0746 N, 73.2056 E
71.2181 S, 63.6450 W
54.8331 N, 148.1191 E
7.4608 S, 75.3161 W
39.3532 S, 55.2139 W
73.1181 N, 79.3021 E
4.6311 S, 131.2951 E
9.3468 S, 147.8840 E
45.1496 N, 47.9730 E
52.6685 N, 169.4826 E
43.5421 S, 16.1763 E
63.0323 S, 176.8859 W
25.5983 N, 130.6652 W
62.0435 N, 15.8360 W
23.0463 N, 81.4767 E
1.6561 N, 171.4844 E
73.7790 N, 135.8371 E
51.5323 N, 117.5238 E
49.0666 N, 78.6244 E
81.8443 S, 150.5903 E
62.1526 N, 119.0545 E
84.2832 S, 156.8730 E
84.1391 N, 30.5153 W
31.4659 S, 76.2969 E
57.9577 N, 63.6233 E
29.3302 N, 107.6287 E
64.5286 N, 93.8844 W
74.5771 S, 169.3564 W
74.8440 N, 17.7399 W
21.0929 N, 152.7846 E
71.9219 S, 61.9872 W
60.8491 N, 140.2365 W
19.0581 S, 127.9162 E
34.0209 S, 15.0689 E
23.7740 S, 109.7832 W
32.7629 S, 162.4372 W
54.8755 N, 8.6155 E
43.6646 S, 23.9470 W
66.8438 N, 82.9917 W
74.6397 S, 168.9609 W
37.5139 N, 122.2215 E
8.6092 N, 30.5567 W
72.4531 N, 9.6630 W
27.9926 N, 8.6861 E
1.7501 S, 128.7273 E
5.4253 N, 119.7102 E
25.4135 N, 109.2469 W
86.8015 S, 44.6397 E
32.5761 N, 108.9076 W
14.9690 N, 35.7418 E
68.5336 S, 26.0620 W
33.7340 N, 166.3896 W
59.8044 S, 153.8897 W
20.9386 N, 48.1285 W
19.4767 N, 148.7296 E
21.3683 N, 46.4842 E
35.4754 S, 0.0631 W
3.4420 S, 175.2180 W
64.2161 N, 77.3631 W
62.8412 S, 85.7478 E
70.2579 N, 113.3691 E
53.9306 N, 138.6235 E
42.0887 S, 6.7074 W
14.6186 S, 40.7527 E
8.6640 S, 138.7314 E
62.6180 N, 19.4938 W
55.1832 N, 168.5166 E
35.6841 N, 3.3307 W
1.1125 N, 148.9553 E
55.9106 N, 22.0286 E
38.8787 N, 27.3809 W
37.3249 N, 22.4904 W
14.7922 S, 161.6264 W
51.6985 N, 23.8749 E
66.2595 S, 115.9122 W
36.0959 S, 59.6320 W
87.4739 N, 65.3222 E
32.7948 N, 105.2269 W
32.2774 N, 157.8611 W
34.2567 N, 113.0162 W
50.2148 S, 177.2934 E
67.7829 N, 85.3007 W
70.0621 N, 93.6061 E
49.3712 N, 73.5631 W
68.9870 N, 43.5520 E
39.6354 S, 125.0600 E
23.0319 S, 135.7491 E
22.1659 N, 9.9085 W
5.1635 N, 147.3082 E
76.5172 S, 109.6661 W
23.9067 N, 21.9655 W
79.3903 N, 65.9429 W
85.7627 N, 167.2757 W
65.6833 S, 142.5430 E
14.2867 S, 46.2751 W
53.0279 N, 162.3290 E
19.8236 S, 125.3272 E
74.4608 S, 2.9060 W
16.1690 N, 50.1578 W
37.0630 S, 154.9788 W
8.7279 S, 75.7858 E
76.0434 S, 60.4372 W
62.7087 N, 179.9949 E
70.4757 S, 128.2716 E
3.0031 S, 133.7010 W
46.2080 S, 134.5583 W
75.8577 S, 75.5288 W
85.3900 N, 44.3449 E
39.1547 N, 51.9410 E
65.9930 S, 42.6702 E
43.4079 S, 95.1785 W
1.3638 S, 101.4651 E
72.1154 S, 109.1637 W
52.0657 S, 163.2566 E
69.8408 S, 33.1554 W
71.3479 N, 129.6131 E
68.6994 S, 25.3939 W
18.6207 N, 77.1290 W
13.0897 N, 83.5444 W
47.7590 N, 133.7212 E
35.6838 N, 60.6018 E
83.0336 S, 154.9674 E
38.8660 N, 79.8357 E
9.7491 N, 2.5321 E
17.7083 N, 52.1452 W
12.2952 S, 163.1156 W
30.6329 N, 85.7379 W
39.7084 N, 97.4748 W
64.5833 N, 29.5976 W
52.3135 S, 79.5071 W
