63.2742 S, 115.9766 W
56.6176 N, 77.9977 W
56.8834 S, 69.8436 W
86.4686 S, 135.0119 W
74.5597 S, 97.0686 E
89.5942 N, 127.2156 E
63.0893 S, 131.8782 E
31.0858 S, 105.6401 W
57.5188 N, 157.6573 E
60.6162 N, 148.8299 E
80.8532 S, 133.1752 W
17.8884 N, 99.9612 W
3.6931 N, 107.7183 E
51.6444 N, 55.5330 W
86.2626 N, 164.0017 W
42.3855 S, 121.3819 E
17.0587 S, 85.4696 E
83.5971 N, 1.7882 E
71.8855 N, 102.2847 E
19.9998 N, 3.0352 W
22.4601 N, 155.0568 E
29.8253 S, 65.5351 E
42.9364 N, 71.0083 W
44.4219 N, 168.1836 W
5.3103 S, 175.3032 E
81.4482 S, 164.0756 W
2.0562 N, 112.9097 E
46.6493 S, 80.3560 W
52.4551 S, 115.4726 W
54.9085 S, 111.2919 E
86.0099 N, 82.8141 E
69.6933 S, 58.9454 E
11.0103 S, 26.8925 E
80.6560 S, 115.5253 W
47.3150 N, 25.5484 E
49.0382 S, 97.2965 W
62.5581 S, 82.4840 E
7.7510 N, 132.7381 E
83.6451 S, 44.1686 W
43.0110 S, 76.9469 E
84.9139 S, 175.6220 W
27.1903 N, 177.9806 E
86.8065 S, 145.1197 E
41.6121 S, 92.8253 E
51.2918 S, 59.9926 E
63.9530 N, 85.9224 W
59.8351 N, 37.7033 W
72.9146 S, 25.3367 W
59.4614 N, 4.4319 W
89.0975 S, 109.1636 W
40.4088 N, 157.8920 E
15.3134 N, 145.1116 W
83.3775 S, 114.3805 W
61.3239 S, 174.6968 E
22.0882 S, 107.5686 E
20.2399 N, 56.0295 W
70.1789 S, 175.5336 E
10.8100 S, 122.4245 E
86.6284 S, 7.8853 W
9.8109 N, 60.8685 W
60.4443 N, 81.8954 W
0.3334 N, 23.3570 W
77.7699 N, 14.4834 E
4.8342 S, 70.9293 E
2.4684 S, 115.8648 E
35.3231 N, 79.8565 E
21.9270 N, 77.5333 W
61.8103 N, 151.0541 E
51.4449 S, 161.0935 W
80.7086 S, 117.5279 E
18.2562 N, 137.5471 W
56.9628 S, 83.2882 W
56.0974 S, 158.5260 W
52.7041 N, 113.5900 W
9.1473 N, 45.2696 W
43.5970 S, 8.3035 W
17.7960 N, 39.2155 W
65.2816 S, 152.6019 E
68.6552 N, 60.1998 W
1.5809 S, 164.5403 E
35.4322 N, 90.1578 E
42.6456 S, 26.0486 W
79.7549 S, 59.3202 W
64.1170 S, 145.9124 W
30.1196 N, 105.2877 W
78.7951 S, 47.1191 W
58.5242 N, 145.4569 E
6.2496 S, 113.0603 W
5.7681 S, 49.4033 W
83.5275 S, 105.1878 E
60.6850 N, 11.6511 W
73.7310 N, 38.7506 W
40.3907 N, 175.1073 E
34.4249 S, 155.4085 W
76.2196 N, 34.6948 W
89.0881 N, 41.4491 E
35.3020 S, 44.3700 E
81.2550 S, 19.7261 W
42.9783 N, 76.1430 E
40.6496 N, 137.1699 W
29.0398 S, 130.6973 W
41.6492 N, 21.5662 E
41.6189 N, 64.0658 E
60.0916 S, 175.5260 E
78.8182 S, 100.1322 E
80.0143 N, 153.8643 E
67.2758 S, 139.2387 E
61.9026 S, 61.9175 W
0.1079 N, 55.3711 E
1.8436 N, 140.1771 W
52.6416 S, 135.6044 W
61.7251 N, 27.8711 W
53.4553 N, 96.1776 W
35.5236 S, 174.9416 E
45.5066 S, 65.0362 W
33.6535 S, 147.8682 E
87.7509 S, 144.8070 W
69.2234 S, 0.7988 E
17.0895 S, 138.2593 W
73.8625 N, 99.0835 W
68.1976 S, 100.7996 W
50.7427 S, 99.0412 W
32.5044 N, 113.0681 E
86.2301 N, 124.4094 E
3.1083 S, 28.0849 W
38.2229 S, 55.1885 W
6.9588 N, 100.5127 E
51.7695 N, 159.6490 W
6.4449 N, 137.7900 W
43.9784 N, 76.0810 E
80.0594 N, 36.0739 E
29.5286 N, 73.9517 W
88.2831 N, 157.5986 E
25.4841 S, 68.5192 E
84.0650 S, 172.3628 E
1.9951 N, 155.2050 E
62.7954 N, 94.8419 E
2.8307 S, 5.4571 E
63.1693 S, 125.0552 E
15.1369 S, 13.0272 W
27.7871 N, 156.5027 W
41.6080 N, 69.9488 W
60.6181 N, 56.4995 W
53.3815 S, 174.2370 E
3.5061 S, 44.5760 W
4.1040 N, 141.1814 W
21.3863 N, 79.3230 E
87.4257 N, 104.5330 W
16.9617 N, 50.4703 E
38.8482 S, 11.7907 E
5.8142 S, 168.7531 W
57.5450 S, 118.8724 E
72.2190 N, 77.3753 E
58.3989 N, 137.9095 E
28.8861 S, 26.4968 E
82.5026 N, 138.4727 E
65.3021 N, 73.2275 W
75.1450 S, 145.1030 W
0.5986 N, 89.2923 W
77.3247 S, 122.3122 E
85.2221 S, 58.0759 E
67.8102 S, 24.5255 W
46.8975 S, 123.0935 W
23.5246 N, 144.1701 E
46.2746 N, 145.3737 W
27.4653 S, 115.0417 W
27.9059 N, 0.3706 W
85.7617 S, 132.4196 E
42.0104 S, 17.3237 E
39.3653 S, 130.4780 W
65.2662 S, 10.0987 E
66.4197 N, 54.6405 E
44.4656 N, 13.1565 W
17.3473 S, 157.1830 W
23.9545 S, 160.7132 W
46.8278 N, 28.0024 W
69.8295 S, 132.9263 W
28.0354 N, 46.7015 E
43.3042 S, 37.5749 W
60.5779 N, 10.5949 W
62.0512 S, 11.7668 W
79.0153 N, 159.5473 W
68.2274 S, 18.1662 E
52.7773 N, 62.6314 W
37.6648 S, 110.2360 W
88.4287 N, 39.6244 E
68.0654 N, 54.7560 W
64.0138 S, 170.8977 E
81.1425 S, 154.5243 E
42.9862 N, 166.8914 W
88.7675 N, 179.3538 W
71.7000 N, 92.5852 W
45.9601 S, 162.3875 W
39.9964 N, 113.1574 E
18.6827 S, 77.4563 W
58.2104 S, 137.7078 E
63.1539 N, 14.0432 W
18.0158 S, 109.2538 W
11.7249 S, 177.0960 E
23.9973 S, 32.3845 E
1.8168 N, 171.0816 W
55.7126 S, 144.3397 E
60.4378 S, 40.4521 E
29.3647 S, 109.8117 W
62.0537 N, 112.7786 E
65.9341 S, 10.5845 W
15.0714 N, 116.6228 E
69.0810 S, 145.3910 E
36.1932 S, 78.9611 E
58.8658 S, 159.7528 W
72.9158 N, 157.9294 W
61.8846 N, 153.7325 W
4.8862 S, 89.4438 E
48.0659 N, 8.2137 W
87.3475 N, 62.7258 W
51.6837 S, 91.4165 E
44.9588 S, 46.7779 W
29.8412 S, 55.4280 E
13.4495 S, 115.4062 E
59.8476 N, 55.6457 E
21.1265 N, 148.5515 E
1.6952 S, 172.4982 W
72.1001 S, 120.5108 W
34.2118 N, 18.0870 E
10.3785 S, 176.4358 E
65.9257 S, 127.9550 E
32.2273 S, 19.7581 W
54.0159 S, 24.3412 E
70.4352 S, 72.9635 W
57.5029 N, 17.7947 W
39.2001 S, 89.0543 E
78.0643 S, 74.7617 W
38.2394 N, 151.9427 W
26.9505 S, 139.7692 W
8.7760 N, 27.9141 E
34.0484 N, 53.7989 E
7.1011 N, 105.8741 W
77.0319 S, 129.3292 W
7.0283 S, 141.1854 E
60.9161 S, 2.0056 E
54.9453 S, 14.5344 W
35.3575 S, 177.1097 E
7.0493 S, 158.6420 E
57.2801 N, 151.8456 W
10.3238 S, 83.4548 W
42.3994 N, 14.7629 W
79.7192 N, 2.2225 E
26.4519 S, 133.3924 W
16.3938 N, 14.5974 E
6.1618 S, 12.2771 W
79.8650 S, 174.8934 W
88.0480 N, 0.8686 E
47.1512 N, 125.7687 E
42.6121 N, 162.0207 E
50.3006 N, 80.9757 E
20.9602 S, 0.1740 W
38.6421 S, 5.1114 W
9.9381 N, 54.4869 W
72.1940 N, 155.2622 W
17.5524 N, 21.0302 W
8.7354 S, 127.3465 E
29.7411 S, 52.3239 E
49.9171 N, 142.8861 E
19.5101 N, 151.6509 W
68.0438 S, 7.8736 E
39.6822 S, 65.6470 W
63.3187 S, 107.5344 E
37.9071 N, 30.6971 E
0.2538 S, 62.2134 E
2.6847 N, 81.7443 E
80.4026 S, 145.4216 W
86.6996 S, 115.0573 E
60.9409 S, 163.8028 E
13.5562 N, 123.0801 E
58.6391 N, 145.6242 W
83.2538 N, 101.9184 E
77.5476 S, 138.5458 E
7.5926 N, 82.4299 E
51.7519 S, 59.6043 W
62.9361 S, 168.5896 E
10.1077 N, 175.0411 W
26.8025 S, 74.1171 W
54.9283 N, 173.2716 E
45.2344 N, 179.9398 W
74.6442 N, 20.5397 W
60.1580 N, 144.7341 E
61.9609 S, 99.6224 W
67.1495 S, 95.5328 W
84.3554 S, 32.5003 W
56.4980 N, 74.6651 W
38.2562 N, 177.2335 E
26.2008 S, 41.2965 E
12.4114 S, 128.1578 E
43.1753 N, 58.4307 E
40.5547 S, 84.9599 W
21.0007 S, 40.4487 E
70.7063 S, 144.3025 E
30.7854 N, 171.0995 E
30.3442 S, 62.8666 E
89.0248 S, 134.8160 E
65.2661 N, 92.4224 W
10.4978 S, 152.5979 E
11.5747 N, 9.3880 W
7.1055 N, 51.6488 E
89.8974 N, 28.7326 E
40.2725 N, 106.0178 W
47.0306 N, 14.1575 E
10.2794 S, 109.7596 W
64.5176 S, 22.4597 E
38.8668 N, 177.2932 W
28.8829 N, 29.4767 W
64.8654 N, 18.1354 W
55.6275 N, 142.2767 E
51.4695 S, 22.8099 E
5.0070 S, 79.9272 W
80.3565 S, 127.0317 E
66.2866 N, 22.7823 W
61.7379 S, 5.2431 E
68.0475 S, 69.2269 W
2.0591 N, 91.7676 W
5.4566 S, 2.8285 W
61.4203 N, 0.9097 E
5.4418 S, 175.8656 E
29.3129 N, 138.4968 E
64.2643 N, 105.1033 E
46.1180 N, 114.4502 E
76.0966 S, 143.5995 E
9.1925 N, 111.3348 E
36.8202 N, 46.0626 W
32.4861 N, 109.8999 W
68.0491 S, 140.5026 E
82.9114 N, 48.8150 E
19.6933 N, 69.2733 E
65.9618 S, 149.6677 W
87.5348 N, 32.8457 E
20.4372 S, 127.3684 W
24.0590 S, 91.3554 W
19.5756 S, 141.9117 E
47.7478 S, 11.4116 E
25.8520 N, 169.6007 W
3.2694 S, 130.6936 W
78.1700 S, 18.6734 W
25.1824 N, 1.6165 E
72.4842 S, 99.5050 E
43.3913 S, 2.9806 E
30.6130 N, 79.5751 W
32.3578 S, 179.0212 W
15.4535 N, 92.5962 E
25.3806 N, 21.8124 W
57.5100 N, 11.8284 W
1.9125 N, 13.2942 W
88.5088 N, 159.3982 E
78.1977 N, 172.8678 W
37.8884 S, 33.4917 W
86.6100 N, 74.3917 E
77.0027 N, 54.0611 E
26.6165 S, 25.3726 W
31.0252 S, 134.5771 W
73.4796 N, 120.0866 W
38.5847 N, 93.4799 E
75.8650 N, 91.2784 E
1.7249 N, 70.9901 W
60.6069 N, 29.9980 E
3.9801 N, 154.0279 E
67.2995 S, 38.2801 W
15.6628 S, 140.3619 W
45.7526 N, 63.7392 W
56.9510 S, 117.3047 W
89.5580 S, 95.0889 W
20.7696 N, 43.2376 E
21.6871 N, 144.5874 W
58.4864 S, 52.1965 W
83.5015 N, 110.7886 E
54.0063 S, 3.5569 W
43.2576 N, 173.6463 E
8.5234 N, 85.1247 W
61.6611 S, 5.4031 E
84.9454 S, 87.5657 W
29.1488 S, 155.5642 E
37.4112 S, 97.6786 E
29.4786 S, 12.6179 E
46.6364 N, 25.3545 W
89.5400 S, 61.2662 E
84.7565 N, 73.4985 E
24.1138 N, 131.7349 W
66.7074 N, 62.1900 W
50.0192 S, 6.1900 E
18.5637 S, 136.7476 W
69.3582 S, 59.8050 E
38.9849 N, 113.8385 E
76.9006 S, 97.2966 E
84.6878 S, 43.7071 W
24.3122 N, 25.6882 E
79.8407 S, 47.0253 W
19.0023 N, 8.9535 E
18.0457 N, 154.1174 W
21.8935 N, 50.7430 E
69.8954 S, 141.2520 E
77.8384 S, 131.9720 W
68.7663 N, 168.4136 W
63.2315 S, 107.3853 W
32.6755 S, 153.9681 E
81.8831 S, 114.4432 E
58.1463 S, 66.9311 W
69.5430 N, 12.7586 W
13.3333 N, 122.1538 E
75.5915 S, 48.7295 W
27.5012 S, 12.5382 W
49.0042 N, 44.1281 W
54.6122 S, 134.3365 W
78.1295 N, 25.9737 W
40.1892 S, 101.9987 E
64.4626 N, 163.3249 E
17.4129 N, 6.1115 E
36.6663 N, 134.3269 W
47.0466 S, 41.7488 E
45.0163 N, 124.6064 W
60.0377 N, 6.0238 E
78.6018 S, 45.1670 E
47.4089 S, 22.2816 W
1.1773 N, 14.9804 W
20.2658 S, 42.4947 W
85.1201 N, 16.8852 W
0.9891 N, 44.3300 E
6.9896 S, 86.4408 E
50.9883 N, 0.0816 W
3.3088 S, 51.9491 E
12.7549 N, 153.7568 W
17.8090 N, 46.9572 E
65.7884 S, 34.4369 W
30.4999 S, 174.1411 W
3.7070 N, 70.3203 E
9.4517 N, 78.3770 W
34.9360 N, 111.3039 W
11.4090 N, 168.5691 E
19.6849 N, 62.6043 W
4.7668 N, 111.6478 W
36.4615 S, 103.6948 W
58.8082 N, 134.8902 E
54.0391 S, 2.6120 E
84.8412 N, 167.5090 W
59.6762 S, 9.6210 E
70.8570 N, 70.0022 W
3.9486 S, 29.5750 W
41.7298 N, 117.1014 W
10.2770 N, 21.3374 E
57.7650 N, 167.5652 E
17.0896 S, 138.3397 W
14.4953 N, 4.7025 E
77.0630 N, 13.3884 E
0.4411 N, 13.2488 W
26.2702 S, 68.1132 E
1.2983 S, 123.6056 W
79.1759 N, 24.6260 E
2.8899 S, 47.4810 E
11.8000 S, 137.0442 E
71.5314 S, 27.8596 W
13.5382 S, 170.7830 W
47.6043 S, 80.5826 W
56.9058 N, 152.2461 W
20.7962 N, 9.1039 W
51.9347 S, 23.7345 E
38.1460 S, 115.8209 E
40.4108 S, 151.3504 W
66.3867 S, 175.7329 E
37.3863 S, 160.8833 W
71.7257 N, 77.0559 W
49.5638 N, 70.2984 E
74.0764 S, 58.0447 W
89.4907 N, 59.3955 W
81.7196 S, 109.5084 E
77.2339 S, 131.1972 E
67.6141 S, 14.6053 W
60.0167 S, 83.7214 E
31.2629 S, 168.9787 E
73.7273 N, 176.7148 E
28.6061 S, 23.5008 W
11.5633 N, 118.4100 W
87.0072 N, 14.5917 E
14.4573 S, 73.9682 E
7.3861 S, 30.7797 E
85.5536 N, 84.4986 E
34.5604 S, 91.0949 W
61.5522 S, 143.2797 W
28.4329 N, 7.8010 E
54.6317 N, 118.8083 E
38.0505 S, 165.5952 E
67.8494 N, 160.4548 E
82.8157 S, 13.1721 W
13.0717 S, 132.7831 E
77.8403 N, 42.1138 E
53.8881 S, 34.0662 E
6.0743 S, 0.3837 E
8.5145 N, 43.1581 W
72.8385 S, 88.8468 E
54.7865 S, 121.5171 E
1.8201 N, 147.7164 E
86.4949 N, 30.4568 W
89.9281 S, 71.0353 E
74.3793 N, 29.6317 W
52.5988 N, 10.7549 W
76.3817 S, 60.5005 W
64.8423 N, 165.1222 E
3.6393 S, 41.4692 W
3.6541 N, 139.8447 E
20.4079 N, 3.5942 E
36.2004 N, 115.0994 E
8.0755 N, 82.0654 E
31.8999 N, 26.2750 E
5.0150 N, 168.3874 E
43.1081 S, 102.4366 E
54.9682 N, 14.5944 W
75.0347 S, 116.2270 E
54.3635 S, 147.4308 W
86.2941 N, 179.7079 E
24.0569 N, 139.7008 E
10.7732 S, 112.5578 E
25.2729 N, 65.2781 E
34.2248 N, 49.3996 E
79.9762 S, 43.9097 E
2.4889 N, 52.6049 E
15.9945 N, 29.9226 E
8.4051 N, 4.4853 E
78.6186 S, 156.2355 E
37.8308 S, 161.4453 W
54.8057 S, 133.6601 W
64.4516 S, 80.6586 W
50.2330 N, 152.2615 W
52.3571 S, 137.9167 W
70.7928 N, 151.6798 E
29.9908 N, 72.6138 E
60.0552 S, 174.6105 E
26.7129 N, 50.7883 W
24.9401 N, 103.3159 E
22.6260 N, 138.7861 W
88.8154 N, 82.0616 W
79.0452 S, 3.6316 E
32.6204 N, 133.5280 W
72.3468 N, 152.6816 E
52.7737 N, 76.2253 W
65.1478 S, 122.2885 E
23.7824 S, 164.3984 E
15.5546 S, 85.2136 E
71.9046 S, 39.0005 E
45.6404 S, 127.0131 W
53.8147 S, 156.0793 E
67.6302 S, 81.9496 E
74.3412 N, 171.5349 W
74.3769 S, 24.5119 E
71.3092 S, 136.2721 E
79.6159 S, 75.6798 W
77.9893 S, 49.9841 W
87.0973 S, 92.6786 W
57.7716 S, 23.3105 W
14.1715 S, 137.8082 W
47.3879 S, 70.5276 W
64.7041 N, 32.2240 W
13.3907 N, 94.2765 E
9.1853 N, 13.7613 W
78.0844 S, 138.7121 W
11.1203 S, 138.4534 W
35.2863 S, 101.4360 W
86.0883 N, 152.0383 W
68.8832 S, 96.3158 W
30.1777 N, 102.7705 E
34.8026 S, 119.7953 W
32.4074 S, 104.4363 E
32.2158 S, 112.8151 E
14.9519 N, 105.4425 E
41.9460 S, 13.5311 W
56.4047 N, 22.6971 W
59.5595 N, 139.7593 E
64.6327 N, 8.8442 E
25.3323 N, 43.5938 E
69.1883 N, 10.8588 W
74.0392 S, 112.4131 W
2.5508 S, 81.7364 E
62.2529 N, 71.9065 W
20.0620 S, 156.4871 E
38.6459 N, 39.5649 W
26.3264 S, 148.8118 E
57.7877 S, 151.7839 E
58.1718 N, 134.5653 W
1.8950 N, 2.1073 W
8.3064 N, 174.3097 W
53.5550 N, 160.7175 E
64.5205 S, 12.4739 W
23.1493 N, 111.1659 E
31.5688 S, 157.6598 W
88.5177 S, 46.0959 E
36.3953 N, 7.7000 W
72.7253 N, 81.4368 W
47.3520 N, 126.7881 E
28.6011 S, 72.9614 W
17.1726 S, 164.6631 W
69.0603 N, 105.5193 W
88.3577 S, 67.3057 E
21.5098 S, 7.7984 W
38.1531 N, 4.9668 W
76.3006 S, 116.2012 E
5.2678 N, 158.7605 E
68.9073 S, 160.5245 E
26.3063 S, 101.9867 W
63.7821 N, 125.3433 E
47.5941 N, 173.3923 E
42.8915 S, 130.5413 E
53.4582 S, 15.8778 W
42.4909 N, 84.9949 W
86.4951 S, 65.3310 W
71.2214 S, 129.1247 E
79.9519 N, 7.1576 E
56.1998 N, 24.3583 E
72.7012 S, 61.9454 W
72.1794 N, 40.2437 W
34.9123 S, 72.2077 E
12.2720 S, 49.1893 E
8.8522 N, 92.3535 W
14.6939 S, 138.3423 E
16.6720 S, 172.6716 W
40.4137 S, 44.0884 W
55.7853 N, 26.4623 E
3.1482 S, 92.8385 E
58.5337 N, 88.2932 W
78.7863 N, 77.6450 E
15.5013 N, 22.8491 E
16.4259 N, 61.5383 E
87.4961 S, 103.3874 W
29.7119 S, 130.5706 E
14.0572 S, 63.2905 W
72.9597 S, 61.7281 W
24.2801 S, 2.2019 W
15.5753 S, 179.4478 E
78.4521 S, 79.5562 E
8.0024 S, 150.7880 E
33.8279 S, 84.7885 W
35.5239 S, 148.9045 W
24.4668 S, 142.1413 W
14.5082 N, 153.0341 E
77.8775 N, 94.2800 E
73.5284 S, 84.4737 E
33.4508 S, 88.5102 E
11.6049 S, 71.1547 E
55.7332 S, 100.6363 E
49.5938 S, 106.0037 E
75.3510 N, 78.0025 W
35.2285 S, 49.7580 W
63.5134 S, 146.0503 W
48.5236 N, 62.2034 W
46.6502 N, 91.0750 W
82.1805 S, 10.1049 E
43.8814 S, 5.0679 E
76.2198 S, 157.5074 W
30.2097 S, 66.4634 E
64.3332 N, 86.3593 E
61.8388 N, 155.4643 E
41.4043 S, 119.2220 E
57.4997 N, 123.1490 W
84.8223 S, 86.7090 E
33.1887 S, 40.8605 E
34.8175 S, 93.2150 E
31.6668 S, 53.3556 W
24.8011 N, 90.7706 E
36.4868 S, 146.0558 E
75.5734 S, 36.4998 W
28.4225 S, 109.3380 W
61.1817 N, 67.8279 E
0.4690 N, 128.9813 E
60.6260 S, 122.2115 E
44.8302 S, 73.0248 W
63.0977 S, 117.7908 W
53.7211 N, 144.6141 W
17.5716 S, 34.9247 E
53.9555 S, 113.9561 E
56.3419 N, 7.5060 E
31.1290 S, 88.3467 E
11.3855 N, 36.2062 W
51.1189 N, 0.6675 W
22.9233 S, 155.3788 E
34.6992 N, 75.3758 W
17.1707 N, 15.0795 W
68.3984 S, 162.7200 W
1.3745 S, 170.5349 E
0.0617 N, 135.1955 W
67.7066 S, 143.4960 W
51.9338 N, 24.7784 W
88.0829 S, 45.2296 E
39.9319 S, 19.5352 E
29.0309 N, 33.4782 E
51.5447 N, 156.6049 W
82.7872 N, 136.4326 W
77.3040 N, 62.3252 E
71.5303 N, 46.8850 E
73.8183 N, 78.9209 W
26.7074 N, 83.1860 W
86.9927 N, 84.5100 W
77.7556 N, 40.0987 W
18.1317 N, 62.5503 E
62.4696 S, 66.7434 E
11.1440 N, 68.1885 W
13.9787 S, 89.5654 E
67.3353 N, 129.2244 W
10.4296 N, 128.7530 E
72.9300 S, 144.0910 W
19.2415 S, 172.0341 E
3.8459 S, 35.1175 W
30.7554 N, 87.1288 E
81.0594 N, 146.1105 E
78.7812 N, 164.0403 E
42.7944 N, 23.0693 W
4.4899 N, 21.3382 E
17.0709 N, 100.9229 E
14.4765 N, 74.3563 W
29.0992 N, 62.6675 W
73.0982 S, 148.9658 W
83.8223 S, 88.5546 E
27.0495 S, 21.7194 E
51.7984 N, 93.9717 W
89.9799 N, 67.9388 W
17.7769 N, 143.3706 W
7.0299 N, 168.5527 W
68.1708 N, 130.2955 E
69.6192 N, 149.6101 E
17.6549 N, 7.1159 E
14.3335 S, 170.1583 W
17.3687 N, 105.1866 W
25.4194 N, 26.9359 E
69.1625 N, 46.6950 W
50.7567 N, 106.2444 W
6.4399 S, 79.6197 W
42.8970 N, 9.0045 E
17.1834 N, 140.0914 E
55.7924 N, 1.5806 W
21.8488 N, 126.1888 E
80.2101 S, 83.4881 W
13.0203 S, 55.7235 W
80.1800 N, 32.5416 E
19.5070 N, 21.1055 E
11.3564 S, 5.6351 E
32.3481 S, 10.9550 E
11.9349 S, 142.9090 E
89.8197 N, 65.8669 E
26.5446 S, 67.7332 W
44.7419 S, 115.1288 E
64.9553 S, 127.2992 W
41.3072 N, 94.5187 W
83.0937 N, 100.0091 E
67.1242 S, 4.8497 E
52.6974 N, 49.9293 W
58.3209 S, 115.9745 E
53.1153 N, 23.7002 E
9.2532 N, 83.1545 W
25.8298 S, 121.6137 E
26.3353 N, 97.7059 E
12.2586 S, 165.8866 E
9.5750 S, 126.9636 W
3.5021 S, 5.7467 E
63.4919 S, 35.8698 W
